Gene1,Gene2,Count
adeK-BAC0019,ADER,1
adeK-BAC0019,OXA-23,1
adeK-BAC0019,pitA-BAC0312,1
adeK-BAC0019,adeT2-BAC0479,1
adeK-BAC0019,ydeP-BAC0438,1
adeK-BAC0019,adeC-BAC0473,1
adeK-BAC0019,arsC-BAC0584,1
adeK-BAC0019,bfmR,1
adeK-BAC0019,merT-BAC0695,1
adeK-BAC0019,blaTEM-1D,1
adeK-BAC0019,tssL,1
adeK-BAC0019,pmrA-BAC0487,1
adeK-BAC0019,pilA,1
adeK-BAC0019,merT,1
adeK-BAC0019,ADES,1
adeK-BAC0019,APH(6)-Id,1
adeK-BAC0019,adeI,1
adeK-BAC0019,pilT,1
adeK-BAC0019,arsT-BAC0714,1
adeK-BAC0019,adeG-BAC0015,1
adeK-BAC0019,pseI,1
adeK-BAC0019,csuA,1
adeK-BAC0019,ABES,1
adeK-BAC0019,Acinetobacter_baumannii_AbaF,1
adeK-BAC0019,modA-BAC0609,1
adeK-BAC0019,blaOXA-23_1,1
adeK-BAC0019,aadA,1
adeK-BAC0019,pgaB,1
adeK-BAC0019,basG,1
adeK-BAC0019,corA-BAC0641,1
adeK-BAC0019,blaOXA-23,1
adeK-BAC0019,aac(6')-Iaf_1,1
adeK-BAC0019,entE,1
adeK-BAC0019,pilO,1
adeK-BAC0019,adeF-BAC0014,1
adeK-BAC0019,merR,1
adeK-BAC0019,pilJ,1
adeK-BAC0019,ACICU_RS00475,1
adeK-BAC0019,pilE,1
adeK-BAC0019,adeF,1
adeK-BAC0019,ADEA,1
adeK-BAC0019,tetB,1
adeK-BAC0019,arsB-BAC0573,1
adeK-BAC0019,adeC,1
adeK-BAC0019,gspK,1
adeK-BAC0019,pilX,1
adeK-BAC0019,ADEL,1
adeK-BAC0019,merA-BAC0652,1
adeK-BAC0019,gyrA_S81L,1
adeK-BAC0019,basF,1
adeK-BAC0019,mphE,1
adeK-BAC0019,APH(3')-Ia,1
adeK-BAC0019,barA,1
adeK-BAC0019,catB8,1
adeK-BAC0019,gspC,1
adeK-BAC0019,armA_1,1
adeK-BAC0019,aadA1,1
adeK-BAC0019,pgaA,1
adeK-BAC0019,ACICU_RS00485,1
adeK-BAC0019,bfmS,1
adeK-BAC0019,adeL-BAC0508,1
adeK-BAC0019,aac(6')-Ip,1
adeK-BAC0019,mgtA-BAC0642,1
adeK-BAC0019,merC-BAC0664,1
adeK-BAC0019,tet(B),1
adeK-BAC0019,fabL/ygaA-BAC0158,1
adeK-BAC0019,blaOXA-66,1
adeK-BAC0019,AMVA,1
adeK-BAC0019,clpV/tssH,1
adeK-BAC0019,sul1,1
adeK-BAC0019,basH,1
adeK-BAC0019,ACICU_RS04565,1
adeK-BAC0019,fimV,1
adeK-BAC0019,fabI-BAC0156,1
adeK-BAC0019,csuC,1
adeK-BAC0019,pilY1,1
adeK-BAC0019,blaADC-25_1,1
adeK-BAC0019,adeS,1
adeK-BAC0019,pilN,1
adeK-BAC0019,lpsB,1
adeK-BAC0019,bauA,1
adeK-BAC0019,AAC6-PRIME,1
adeK-BAC0019,fimU,1
adeK-BAC0019,gspI,1
adeK-BAC0019,blaTEM-1D_1,1
adeK-BAC0019,SULI,1
adeK-BAC0019,gspN,1
adeK-BAC0019,pilP,1
adeK-BAC0019,pseF,1
adeK-BAC0019,TEM,1
adeK-BAC0019,adeA,1
adeK-BAC0019,hmrM-BAC0189,1
adeK-BAC0019,ADEI,1
adeK-BAC0019,fpvA-BAC0169,1
adeK-BAC0019,aph(3'')-Ib_2,1
adeK-BAC0019,nreB-BAC0285,1
adeK-BAC0019,MPHE,1
adeK-BAC0019,galU,1
adeK-BAC0019,soxR-BAC0370,1
adeK-BAC0019,aac(6')-Ib',1
adeK-BAC0019,adeH-BAC0016,1
adeK-BAC0019,basJ,1
adeK-BAC0019,ADC,1
adeK-BAC0019,nreB,1
adeK-BAC0019,sul1_5,1
adeK-BAC0019,pbrR-BAC0301,1
adeK-BAC0019,BlaA2,1
adeK-BAC0019,bauB,1
adeK-BAC0019,pilM,1
adeK-BAC0019,adeE-BAC0013,1
adeK-BAC0019,ADEC,1
adeK-BAC0019,csuA/B,1
adeK-BAC0019,ABAQ,1
adeK-BAC0019,MEXT,1
adeK-BAC0019,aph(6)-Id_1,1
adeK-BAC0019,msrE,1
adeK-BAC0019,vceB-BAC0419,1
adeK-BAC0019,vcaM-BAC0417,1
adeK-BAC0019,tssC,1
adeK-BAC0019,blaADC-31,1
adeK-BAC0019,gspG,1
adeK-BAC0019,bap,1
adeK-BAC0019,APH3-DPRIME,1
adeK-BAC0019,adeN-BAC0496,1
adeK-BAC0019,abaR,1
adeK-BAC0019,abeS-BAC0002,1
adeK-BAC0019,fecE-BAC0164,1
adeK-BAC0019,modB-BAC0610,1
adeK-BAC0019,armA,1
adeK-BAC0019,basD,1
adeK-BAC0019,vgrG/tssI,1
adeK-BAC0019,pseB,1
adeK-BAC0019,pilG,1
adeK-BAC0019,adeL,1
adeK-BAC0019,AAC(6')-Iaf,1
adeK-BAC0019,LpsB,1
adeK-BAC0019,fimT,1
adeK-BAC0019,ACICU_RS00400,1
adeK-BAC0019,hmrR-BAC0190,1
adeK-BAC0019,csuE,1
adeK-BAC0019,pilI,1
adeK-BAC0019,bauC,1
adeK-BAC0019,tviB,1
adeK-BAC0019,ruvB-BAC0293,1
adeK-BAC0019,pilB,1
adeK-BAC0019,pseH,1
adeK-BAC0019,nikE-BAC0274,1
adeK-BAC0019,merR-BAC0689,1
adeK-BAC0019,MSRE,1
adeK-BAC0019,vceA-BAC0418,1
adeK-BAC0019,pilH,1
adeK-BAC0019,pgaC,1
adeK-BAC0019,pilU,1
adeK-BAC0019,ADET2,1
adeK-BAC0019,chrA-BAC0026,1
adeK-BAC0019,pcoA-BAC0303,1
adeK-BAC0019,blt-BAC0050,1
adeK-BAC0019,mph(E)_1,1
adeK-BAC0019,gspM,1
adeK-BAC0019,smeF-BAC0360,1
adeK-BAC0019,adeT1-BAC0478,1
adeK-BAC0019,ACICU_RS00405,1
adeK-BAC0019,ACICU_RS00395,1
adeK-BAC0019,csuD,1
adeK-BAC0019,aph(3'')-Ib,1
adeK-BAC0019,blaTEM-1,1
adeK-BAC0019,gspF,1
adeK-BAC0019,ARMA,1
adeK-BAC0019,ACICU_RS00470*,1
adeK-BAC0019,galE,1
adeK-BAC0019,basC,1
adeK-BAC0019,sodB-BAC0706,1
adeK-BAC0019,TETB,1
adeK-BAC0019,plcD,1
adeK-BAC0019,mdfA/cmr-BAC0208,1
adeK-BAC0019,catB8_1,1
adeK-BAC0019,hcp/tssD,1
adeK-BAC0019,tssM,1
adeK-BAC0019,APH(3'')-Ib,1
adeK-BAC0019,cpxR-BAC0533,1
adeK-BAC0019,czcA-BAC0119,1
adeK-BAC0019,modB-BAC0599,1
adeK-BAC0019,mexK-BAC0242,1
adeK-BAC0019,znuB/yebI-BAC0464,1
adeK-BAC0019,lpxL,1
adeK-BAC0019,tssK,1
adeK-BAC0019,bcr-BAC0041,1
adeK-BAC0019,blaTEM-12,1
adeK-BAC0019,czcR-BAC0125,1
adeK-BAC0019,mexT-BAC0244,1
adeK-BAC0019,pilF,1
adeK-BAC0019,plc2,1
adeK-BAC0019,ACICU_RS00500,1
adeK-BAC0019,corR-BAC0089,1
adeK-BAC0019,abuO-BAC0758,1
adeK-BAC0019,fptA-BAC0168,1
adeK-BAC0019,ADEH,1
adeK-BAC0019,gspE1,1
adeK-BAC0019,ostA/lptD-BAC0296,1
adeK-BAC0019,mdtN/yjcR-BAC0220,1
adeK-BAC0019,fecD-BAC0163,1
adeK-BAC0019,corC-BAC0088,1
adeK-BAC0019,emrBsm-BAC0500,1
adeK-BAC0019,cutE/lnt-BAC0115,1
adeK-BAC0019,tssB,1
adeK-BAC0019,recG-BAC0356,1
adeK-BAC0019,pilW,1
adeK-BAC0019,ant(3'')-IIa,1
adeK-BAC0019,golT-BAC0183,1
adeK-BAC0019,ADC-31,1
adeK-BAC0019,ADEK,1
adeK-BAC0019,strA,1
adeK-BAC0019,aacA16,1
adeK-BAC0019,tssG,1
adeK-BAC0019,merA-BAC0651,1
adeK-BAC0019,pmrB-BAC0488,1
adeK-BAC0019,yddg/emrE-BAC0435,1
