Gene,Database,Count,Frequency
sul1,AMRfinder,2,2 (200.0%)
qacEdelta1,AMRfinder,2,2 (200.0%)
aadA1,AMRfinder,2,2 (200.0%)
ant(3'')-IIa,AMRfinder,1,1 (100.0%)
parC_E88K,AMRfinder,1,1 (100.0%)
tet(B),AMRfinder,1,1 (100.0%)
aph(6)-Id,AMRfinder,1,1 (100.0%)
aph(3'')-Ib,AMRfinder,1,1 (100.0%)
nreB,AMRfinder,1,1 (100.0%)
blaOXA-23,AMRfinder,1,1 (100.0%)
merD,AMRfinder,1,1 (100.0%)
merP,AMRfinder,1,1 (100.0%)
merT,AMRfinder,1,1 (100.0%)
merR,AMRfinder,1,1 (100.0%)
aacA16,AMRfinder,1,1 (100.0%)
blaTEM-1,AMRfinder,1,1 (100.0%)
abaF,AMRfinder,1,1 (100.0%)
blaOXA-66,AMRfinder,1,1 (100.0%)
adeC,AMRfinder,1,1 (100.0%)
amvA,AMRfinder,1,1 (100.0%)
mph(E),AMRfinder,1,1 (100.0%)
msr(E),AMRfinder,1,1 (100.0%)
armA,AMRfinder,1,1 (100.0%)
catB8,AMRfinder,1,1 (100.0%)
aac(6')-Ib',AMRfinder,1,1 (100.0%)
aph(3')-Ia,AMRfinder,1,1 (100.0%)
blaADC-31,AMRfinder,1,1 (100.0%)
cxpE,AMRfinder,1,1 (100.0%)
gyrA_S81L,AMRfinder,1,1 (100.0%)
sul1_5,RESFINDER,2,2 (200.0%)
tet(B)_1,RESFINDER,1,1 (100.0%)
aph(6)-Id_1,RESFINDER,1,1 (100.0%)
aph(3'')-Ib_2,RESFINDER,1,1 (100.0%)
blaOXA-23_1,RESFINDER,1,1 (100.0%)
aac(6')-Iaf_1,RESFINDER,1,1 (100.0%)
blaTEM-1D_1,RESFINDER,1,1 (100.0%)
blaOXA-66_1,RESFINDER,1,1 (100.0%)
mph(E)_1,RESFINDER,1,1 (100.0%)
msr(E)_1,RESFINDER,1,1 (100.0%)
armA_1,RESFINDER,1,1 (100.0%)
ant(3'')-Ia_1,RESFINDER,1,1 (100.0%)
catB8_1,RESFINDER,1,1 (100.0%)
aph(3')-Ia_7,RESFINDER,1,1 (100.0%)
blaADC-25_1,RESFINDER,1,1 (100.0%)
sul1,CARD,2,2 (200.0%)
qacEdelta1,CARD,2,2 (200.0%)
ANT(3'')-IIa,CARD,1,1 (100.0%)
tet(B),CARD,1,1 (100.0%)
APH(6)-Id,CARD,1,1 (100.0%)
APH(3'')-Ib,CARD,1,1 (100.0%)
LpsB,CARD,1,1 (100.0%)
OXA-23,CARD,1,1 (100.0%)
AAC(6')-Iaf,CARD,1,1 (100.0%)
TEM-12,CARD,1,1 (100.0%)
Acinetobacter_baumannii_AbaF,CARD,1,1 (100.0%)
OXA-66,CARD,1,1 (100.0%)
adeC,CARD,1,1 (100.0%)
adeB,CARD,1,1 (100.0%)
adeA,CARD,1,1 (100.0%)
adeR,CARD,1,1 (100.0%)
adeS,CARD,1,1 (100.0%)
Acinetobacter_baumannii_AbaQ,CARD,1,1 (100.0%)
adeN,CARD,1,1 (100.0%)
Acinetobacter_baumannii_AmvA,CARD,1,1 (100.0%)
mphE,CARD,1,1 (100.0%)
msrE,CARD,1,1 (100.0%)
armA,CARD,1,1 (100.0%)
aadA,CARD,1,1 (100.0%)
catB8,CARD,1,1 (100.0%)
AAC(6')-Ib7,CARD,1,1 (100.0%)
APH(3')-Ia,CARD,1,1 (100.0%)
abeS,CARD,1,1 (100.0%)
adeL,CARD,1,1 (100.0%)
adeG,CARD,1,1 (100.0%)
adeF,CARD,1,1 (100.0%)
adeH,CARD,1,1 (100.0%)
ADC-31,CARD,1,1 (100.0%)
adeI,CARD,1,1 (100.0%)
adeJ,CARD,1,1 (100.0%)
adeK,CARD,1,1 (100.0%)
(Sul)sul1,ARGANNOT,2,2 (200.0%)
(AGly)ant(3'')-IIa,ARGANNOT,1,1 (100.0%)
(Tet)tetB,ARGANNOT,1,1 (100.0%)
(AGly)strB,ARGANNOT,1,1 (100.0%)
(AGly)strA,ARGANNOT,1,1 (100.0%)
(Bla)blaOXA-23,ARGANNOT,1,1 (100.0%)
(AGly)aac6-Iaf,ARGANNOT,1,1 (100.0%)
(Bla)blaTEM-1D,ARGANNOT,1,1 (100.0%)
(Bla)BlaA2,ARGANNOT,1,1 (100.0%)
(Bla)blaOXA-66,ARGANNOT,1,1 (100.0%)
(Bla)Mbl,ARGANNOT,1,1 (100.0%)
(Bla)BlaA1,ARGANNOT,1,1 (100.0%)
(MLS)mph(E),ARGANNOT,1,1 (100.0%)
(MLS)msr(E),ARGANNOT,1,1 (100.0%)
(AGly)armA,ARGANNOT,1,1 (100.0%)
(AGly)aadA1-pm,ARGANNOT,1,1 (100.0%)
(Phe)catB8,ARGANNOT,1,1 (100.0%)
(AGly)aph(3'')-Ia,ARGANNOT,1,1 (100.0%)
(Bla)blaADC-25,ARGANNOT,1,1 (100.0%)
(Bla)Zn-dependent_hydrolase,ARGANNOT,1,1 (100.0%)
ANT3-DPRIME,MEGARES,2,2 (200.0%)
APH3-DPRIME,MEGARES,2,2 (200.0%)
OXA,MEGARES,2,2 (200.0%)
SULI,MEGARES,2,2 (200.0%)
AAC6-PRIME,MEGARES,2,2 (200.0%)
BLAA,MEGARES,2,2 (200.0%)
TETB,MEGARES,1,1 (100.0%)
APH6,MEGARES,1,1 (100.0%)
MEXT,MEGARES,1,1 (100.0%)
TEM,MEGARES,1,1 (100.0%)
ABAF,MEGARES,1,1 (100.0%)
ADEC,MEGARES,1,1 (100.0%)
ADEB,MEGARES,1,1 (100.0%)
ADEA,MEGARES,1,1 (100.0%)
ADER,MEGARES,1,1 (100.0%)
ADES,MEGARES,1,1 (100.0%)
ADET1,MEGARES,1,1 (100.0%)
ABAQ,MEGARES,1,1 (100.0%)
ADEN,MEGARES,1,1 (100.0%)
AMVA,MEGARES,1,1 (100.0%)
MPHE,MEGARES,1,1 (100.0%)
MSRE,MEGARES,1,1 (100.0%)
ARMA,MEGARES,1,1 (100.0%)
ABES,MEGARES,1,1 (100.0%)
ADEL,MEGARES,1,1 (100.0%)
ADEF,MEGARES,1,1 (100.0%)
ADEG,MEGARES,1,1 (100.0%)
ADEH,MEGARES,1,1 (100.0%)
ADC,MEGARES,1,1 (100.0%)
ADEI,MEGARES,1,1 (100.0%)
ADEJ,MEGARES,1,1 (100.0%)
ADEK,MEGARES,1,1 (100.0%)
ADET2,MEGARES,1,1 (100.0%)
sul1,NCBI,2,2 (200.0%)
ant(3'')-IIa,NCBI,1,1 (100.0%)
tet(B),NCBI,1,1 (100.0%)
aph(6)-Id,NCBI,1,1 (100.0%)
aph(3'')-Ib,NCBI,1,1 (100.0%)
blaOXA-23,NCBI,1,1 (100.0%)
