Gene,Database,Count,Frequency
adeL-BAC0508,BACMET2,9,9 (900.0%)
fabL/ygaA-BAC0158,BACMET2,4,4 (400.0%)
pstB-BAC0316,BACMET2,4,4 (400.0%)
merA-BAC0651,BACMET2,4,4 (400.0%)
adeT1-BAC0478,BACMET2,4,4 (400.0%)
arsT-BAC0714,BACMET2,3,3 (300.0%)
nikE-BAC0274,BACMET2,3,3 (300.0%)
baeR-BAC0039,BACMET2,3,3 (300.0%)
galE-BAC0755,BACMET2,2,2 (200.0%)
acn-BAC0003,BACMET2,2,2 (200.0%)
oxyRkp-BAC0536,BACMET2,2,2 (200.0%)
cpxR-BAC0533,BACMET2,2,2 (200.0%)
bfrA-BAC0048,BACMET2,2,2 (200.0%)
vceA-BAC0418,BACMET2,2,2 (200.0%)
mexT-BAC0244,BACMET2,2,2 (200.0%)
nikB-BAC0271,BACMET2,2,2 (200.0%)
nikD-BAC0273,BACMET2,2,2 (200.0%)
qacEdelta1-BAC0323,BACMET2,2,2 (200.0%)
fpvA-BAC0169,BACMET2,2,2 (200.0%)
mdeA-BAC0207,BACMET2,2,2 (200.0%)
modB-BAC0610,BACMET2,2,2 (200.0%)
fecE-BAC0164,BACMET2,2,2 (200.0%)
actP/yjcG-BAC0564,BACMET2,2,2 (200.0%)
pmrC-BAC0485,BACMET2,2,2 (200.0%)
yddg/emrE-BAC0435,BACMET2,2,2 (200.0%)
znuB/yebI-BAC0464,BACMET2,1,1 (100.0%)
znuC/yebM-BAC0465,BACMET2,1,1 (100.0%)
comR/ycfQ-BAC0076,BACMET2,1,1 (100.0%)
blt-BAC0050,BACMET2,1,1 (100.0%)
corR-BAC0089,BACMET2,1,1 (100.0%)
dsbC-BAC0138,BACMET2,1,1 (100.0%)
abuO-BAC0758,BACMET2,1,1 (100.0%)
frnE-BAC0170,BACMET2,1,1 (100.0%)
mdtN/yjcR-BAC0220,BACMET2,1,1 (100.0%)
cutE/lnt-BAC0115,BACMET2,1,1 (100.0%)
corC-BAC0088,BACMET2,1,1 (100.0%)
fabI-BAC0156,BACMET2,1,1 (100.0%)
smeF-BAC0360,BACMET2,1,1 (100.0%)
nreB-BAC0285,BACMET2,1,1 (100.0%)
pcoA-BAC0303,BACMET2,1,1 (100.0%)
sugE-BAC0378,BACMET2,1,1 (100.0%)
vceB-BAC0419,BACMET2,1,1 (100.0%)
pitA-BAC0312,BACMET2,1,1 (100.0%)
pbrR-BAC0301,BACMET2,1,1 (100.0%)
merA-BAC0652,BACMET2,1,1 (100.0%)
merC-BAC0664,BACMET2,1,1 (100.0%)
merP-BAC0678,BACMET2,1,1 (100.0%)
merT-BAC0695,BACMET2,1,1 (100.0%)
merR-BAC0689,BACMET2,1,1 (100.0%)
golT-BAC0183,BACMET2,1,1 (100.0%)
hmrR-BAC0190,BACMET2,1,1 (100.0%)
soxR-BAC0370,BACMET2,1,1 (100.0%)
fabK-BAC0157,BACMET2,1,1 (100.0%)
arsC-BAC0584,BACMET2,1,1 (100.0%)
arsB-BAC0573,BACMET2,1,1 (100.0%)
vcaM-BAC0417,BACMET2,1,1 (100.0%)
ostA/lptD-BAC0296,BACMET2,1,1 (100.0%)
lmrS-BAC0535,BACMET2,1,1 (100.0%)
chrA-BAC0026,BACMET2,1,1 (100.0%)
modA-BAC0609,BACMET2,1,1 (100.0%)
adeC-BAC0473,BACMET2,1,1 (100.0%)
adeB-BAC0472,BACMET2,1,1 (100.0%)
adeA-BAC0471,BACMET2,1,1 (100.0%)
emrBsm-BAC0500,BACMET2,1,1 (100.0%)
fecD-BAC0163,BACMET2,1,1 (100.0%)
zraR/hydH-BAC0467,BACMET2,1,1 (100.0%)
adeN-BAC0496,BACMET2,1,1 (100.0%)
amvA-BAC0025,BACMET2,1,1 (100.0%)
mgtA-BAC0642,BACMET2,1,1 (100.0%)
czcR-BAC0125,BACMET2,1,1 (100.0%)
pmrB-BAC0488,BACMET2,1,1 (100.0%)
pmrA-BAC0487,BACMET2,1,1 (100.0%)
abeS-BAC0002,BACMET2,1,1 (100.0%)
adeF-BAC0014,BACMET2,1,1 (100.0%)
adeG-BAC0015,BACMET2,1,1 (100.0%)
adeH-BAC0016,BACMET2,1,1 (100.0%)
sitB-BAC0350,BACMET2,1,1 (100.0%)
ruvB-BAC0293,BACMET2,1,1 (100.0%)
sodB-BAC0706,BACMET2,1,1 (100.0%)
modB-BAC0599,BACMET2,1,1 (100.0%)
G2alt-BAC0490,BACMET2,1,1 (100.0%)
ruvB-BAC0355,BACMET2,1,1 (100.0%)
ydeP-BAC0438,BACMET2,1,1 (100.0%)
adeE-BAC0013,BACMET2,1,1 (100.0%)
adeI-BAC0017,BACMET2,1,1 (100.0%)
adeJ-BAC0018,BACMET2,1,1 (100.0%)
adeK-BAC0019,BACMET2,1,1 (100.0%)
copR-BAC0719,BACMET2,1,1 (100.0%)
bcr-BAC0041,BACMET2,1,1 (100.0%)
hefC-BAC0188,BACMET2,1,1 (100.0%)
adeT2-BAC0479,BACMET2,1,1 (100.0%)
recG-BAC0356,BACMET2,1,1 (100.0%)
corA-BAC0641,BACMET2,1,1 (100.0%)
mdfA/cmr-BAC0208,BACMET2,1,1 (100.0%)
czcD-BAC0122,BACMET2,1,1 (100.0%)
czcA-BAC0119,BACMET2,1,1 (100.0%)
fptA-BAC0168,BACMET2,1,1 (100.0%)
hmrM-BAC0189,BACMET2,1,1 (100.0%)
mexK-BAC0242,BACMET2,1,1 (100.0%)
mexJ-BAC0241,BACMET2,1,1 (100.0%)
