Gene1,Gene2,Count
OXA-66,adeT2-BAC0479,1
OXA-66,msr(E)_1,1
OXA-66,merA-BAC0652,1
OXA-66,bauE,1
OXA-66,adeC,1
OXA-66,tssM,1
OXA-66,merD,1
OXA-66,gspE1,1
OXA-66,fecE-BAC0164,1
OXA-66,pgaA,1
OXA-66,SULI,1
OXA-66,ARMA,1
OXA-66,pilJ,1
OXA-66,blaOXA-23,1
OXA-66,mdfA/cmr-BAC0208,1
OXA-66,pilA,1
OXA-66,aadA,1
OXA-66,tet(B)_1,1
OXA-66,hmrR-BAC0190,1
OXA-66,sul1,1
OXA-66,galE,1
OXA-66,(AGly)strB,1
OXA-66,soxR-BAC0370,1
OXA-66,fecD-BAC0163,1
OXA-66,ADEA,1
OXA-66,ADET1,1
OXA-66,MPHE,1
OXA-66,nreB,1
OXA-66,basC,1
OXA-66,pilC,1
OXA-66,mph(E)_1,1
OXA-66,APH(3'')-Ib,1
OXA-66,ACICU_RS00395,1
OXA-66,ADEL,1
OXA-66,adeA-BAC0471,1
OXA-66,fimU,1
OXA-66,barA,1
OXA-66,corA-BAC0641,1
OXA-66,arsB-BAC0573,1
OXA-66,pstB-BAC0316,1
OXA-66,(Bla)BlaA2,1
OXA-66,ompA,1
OXA-66,vcaM-BAC0417,1
OXA-66,basF,1
OXA-66,plc2,1
OXA-66,zraR/hydH-BAC0467,1
OXA-66,OXA,1
OXA-66,tssL,1
OXA-66,G2alt-BAC0490,1
OXA-66,(AGly)aac6-Iaf,1
OXA-66,ACICU_RS00485,1
OXA-66,MEXT,1
OXA-66,gspM,1
OXA-66,ACICU_RS00500,1
OXA-66,pilI,1
OXA-66,basH,1
OXA-66,ACICU_RS04565,1
OXA-66,galE-BAC0755,1
OXA-66,(Sul)sul1,1
OXA-66,abeS,1
OXA-66,TEM,1
OXA-66,blaOXA-66_1,1
OXA-66,(Bla)BlaA1,1
OXA-66,recG-BAC0356,1
OXA-66,mexJ-BAC0241,1
OXA-66,adeK,1
OXA-66,gspG,1
OXA-66,blaADC-31,1
OXA-66,adeT1-BAC0478,1
OXA-66,adeK-BAC0019,1
OXA-66,mexT-BAC0244,1
OXA-66,pgaC,1
OXA-66,adeJ-BAC0018,1
OXA-66,lpxA,1
OXA-66,arsT-BAC0714,1
OXA-66,lpxC,1
OXA-66,ADEB,1
OXA-66,qacEdelta1,1
OXA-66,blt-BAC0050,1
OXA-66,cpxR-BAC0533,1
OXA-66,czcR-BAC0125,1
OXA-66,ADEI,1
OXA-66,ADEJ,1
OXA-66,tviB,1
OXA-66,csuA/B,1
OXA-66,nikE-BAC0274,1
OXA-66,adeN,1
OXA-66,AAC(6')-Ib7,1
OXA-66,copR-BAC0719,1
OXA-66,APH(3')-Ia,1
OXA-66,vceA-BAC0418,1
OXA-66,msr(E),1
OXA-66,(MLS)msr(E),1
