Gene,Database,Count,Frequency
vgrG/tssI,VFDB,2,2 (200.0%)
plc1,VFDB,1,1 (100.0%)
ACICU_RS00395,VFDB,1,1 (100.0%)
ACICU_RS00400,VFDB,1,1 (100.0%)
ACICU_RS00405,VFDB,1,1 (100.0%)
tviB,VFDB,1,1 (100.0%)
pseB,VFDB,1,1 (100.0%)
pseC,VFDB,1,1 (100.0%)
pseF,VFDB,1,1 (100.0%)
pseG,VFDB,1,1 (100.0%)
pseH,VFDB,1,1 (100.0%)
pseI,VFDB,1,1 (100.0%)
ACICU_RS00470*,VFDB,1,1 (100.0%)
ACICU_RS00475,VFDB,1,1 (100.0%)
galU,VFDB,1,1 (100.0%)
ACICU_RS00485,VFDB,1,1 (100.0%)
pgi,VFDB,1,1 (100.0%)
galE,VFDB,1,1 (100.0%)
ACICU_RS00500,VFDB,1,1 (100.0%)
abaI,VFDB,1,1 (100.0%)
abaR,VFDB,1,1 (100.0%)
tsaP,VFDB,1,1 (100.0%)
pilR,VFDB,1,1 (100.0%)
pilS,VFDB,1,1 (100.0%)
pbpG,VFDB,1,1 (100.0%)
gspN,VFDB,1,1 (100.0%)
gspC,VFDB,1,1 (100.0%)
gspD,VFDB,1,1 (100.0%)
gspO/pilD,VFDB,1,1 (100.0%)
pilC,VFDB,1,1 (100.0%)
pilB,VFDB,1,1 (100.0%)
gspF,VFDB,1,1 (100.0%)
gspG,VFDB,1,1 (100.0%)
fimV,VFDB,1,1 (100.0%)
lpsB,VFDB,1,1 (100.0%)
lpxL,VFDB,1,1 (100.0%)
pilF,VFDB,1,1 (100.0%)
gspE1,VFDB,1,1 (100.0%)
bfmR,VFDB,1,1 (100.0%)
bfmS,VFDB,1,1 (100.0%)
pilU,VFDB,1,1 (100.0%)
pilT,VFDB,1,1 (100.0%)
ACICU_RS04565,VFDB,1,1 (100.0%)
ACICU_RS04610,VFDB,1,1 (100.0%)
tssB,VFDB,1,1 (100.0%)
tssC,VFDB,1,1 (100.0%)
hcp/tssD,VFDB,1,1 (100.0%)
tssE,VFDB,1,1 (100.0%)
tssF,VFDB,1,1 (100.0%)
tssG,VFDB,1,1 (100.0%)
tssM,VFDB,1,1 (100.0%)
clpV/tssH,VFDB,1,1 (100.0%)
tssA,VFDB,1,1 (100.0%)
tssK,VFDB,1,1 (100.0%)
tssL,VFDB,1,1 (100.0%)
tagX,VFDB,1,1 (100.0%)
gspH,VFDB,1,1 (100.0%)
gspI,VFDB,1,1 (100.0%)
gspK,VFDB,1,1 (100.0%)
lpxB,VFDB,1,1 (100.0%)
lpxA,VFDB,1,1 (100.0%)
lpxD,VFDB,1,1 (100.0%)
plc2,VFDB,1,1 (100.0%)
pgaD,VFDB,1,1 (100.0%)
pgaC,VFDB,1,1 (100.0%)
pgaB,VFDB,1,1 (100.0%)
pgaA,VFDB,1,1 (100.0%)
csuE,VFDB,1,1 (100.0%)
csuD,VFDB,1,1 (100.0%)
csuC,VFDB,1,1 (100.0%)
csuB,VFDB,1,1 (100.0%)
csuA,VFDB,1,1 (100.0%)
csuA/B,VFDB,1,1 (100.0%)
gspM,VFDB,1,1 (100.0%)
gspL,VFDB,1,1 (100.0%)
gspE2,VFDB,1,1 (100.0%)
adeF,VFDB,1,1 (100.0%)
adeG,VFDB,1,1 (100.0%)
adeH,VFDB,1,1 (100.0%)
basJ,VFDB,1,1 (100.0%)
basI,VFDB,1,1 (100.0%)
basH,VFDB,1,1 (100.0%)
barB,VFDB,1,1 (100.0%)
barA,VFDB,1,1 (100.0%)
basG,VFDB,1,1 (100.0%)
basF,VFDB,1,1 (100.0%)
entE,VFDB,1,1 (100.0%)
basD,VFDB,1,1 (100.0%)
basC,VFDB,1,1 (100.0%)
bauA,VFDB,1,1 (100.0%)
bauB,VFDB,1,1 (100.0%)
bauE,VFDB,1,1 (100.0%)
bauC,VFDB,1,1 (100.0%)
bauD,VFDB,1,1 (100.0%)
basB,VFDB,1,1 (100.0%)
basA,VFDB,1,1 (100.0%)
bauF,VFDB,1,1 (100.0%)
lpxM,VFDB,1,1 (100.0%)
bap,VFDB,1,1 (100.0%)
pilJ,VFDB,1,1 (100.0%)
pilI,VFDB,1,1 (100.0%)
pilH,VFDB,1,1 (100.0%)
pilG,VFDB,1,1 (100.0%)
ompA,VFDB,1,1 (100.0%)
fimT,VFDB,1,1 (100.0%)
plcD,VFDB,1,1 (100.0%)
pilE,VFDB,1,1 (100.0%)
ACICU_RS16840,VFDB,1,1 (100.0%)
pilY1,VFDB,1,1 (100.0%)
pilX,VFDB,1,1 (100.0%)
pilW,VFDB,1,1 (100.0%)
pilV,VFDB,1,1 (100.0%)
fimU,VFDB,1,1 (100.0%)
pilA,VFDB,1,1 (100.0%)
pilQ,VFDB,1,1 (100.0%)
pilP,VFDB,1,1 (100.0%)
pilO,VFDB,1,1 (100.0%)
pilN,VFDB,1,1 (100.0%)
pilM,VFDB,1,1 (100.0%)
lpxC,VFDB,1,1 (100.0%)
