Category,Gene,Database,Frequency,Count,Percentage,Genomes
BACMET2 - Biocide Resistance,qacEdelta1,AMRfinder,4 (44.4%),4,44.44,GCA_014705785.1;GCA_014705825.1;GCA_014705885.1;GCA_016535705.2
BACMET2 - Biocide Resistance,qacEdelta1,CARD,4 (44.4%),4,44.44,GCA_014705785.1;GCA_014705825.1;GCA_014705885.1;GCA_016535705.2
BACMET2 - Biocide Resistance,qacEdelta1-BAC0323,BACMET2,4 (44.4%),4,44.44,GCA_014705785.1;GCA_014705825.1;GCA_014705885.1;GCA_016535705.2
BACMET2 - Biocide Resistance,qacE,AMRfinder,1 (11.1%),1,11.11,GCA_016535705.2
BACMET2 - Biocide Resistance,qacE-BAC0322,BACMET2,1 (11.1%),1,11.11,GCA_016535705.2
BACMET2 - Metal Resistance,chrA-BAC0026,BACMET2,9 (100.0%),9,100.0,GCA_001443265.1;GCA_001444225.1;GCA_001444265.1;GCA_014705785.1;GCA_014705825.1;GCA_014705885.1;GCA_016535705.2;GCA_016536425.2;GCA_016539245.2
BACMET2 - Metal Resistance,merA-BAC0651,BACMET2,9 (100.0%),9,100.0,GCA_001443265.1;GCA_001444225.1;GCA_001444265.1;GCA_014705785.1;GCA_014705825.1;GCA_014705885.1;GCA_016535705.2;GCA_016536425.2;GCA_016539245.2
BACMET2 - Metal Resistance,nikE-BAC0274,BACMET2,9 (100.0%),9,100.0,GCA_001443265.1;GCA_001444225.1;GCA_001444265.1;GCA_014705785.1;GCA_014705825.1;GCA_014705885.1;GCA_016535705.2;GCA_016536425.2;GCA_016539245.2
BACMET2 - Metal Resistance,nikD-BAC0273,BACMET2,9 (100.0%),9,100.0,GCA_001443265.1;GCA_001444225.1;GCA_001444265.1;GCA_014705785.1;GCA_014705825.1;GCA_014705885.1;GCA_016535705.2;GCA_016536425.2;GCA_016539245.2
BACMET2 - Metal Resistance,nikB-BAC0271,BACMET2,9 (100.0%),9,100.0,GCA_001443265.1;GCA_001444225.1;GCA_001444265.1;GCA_014705785.1;GCA_014705825.1;GCA_014705885.1;GCA_016535705.2;GCA_016536425.2;GCA_016539245.2
BACMET2 - Metal Resistance,arsT-BAC0714,BACMET2,9 (100.0%),9,100.0,GCA_001443265.1;GCA_001444225.1;GCA_001444265.1;GCA_014705785.1;GCA_014705825.1;GCA_014705885.1;GCA_016535705.2;GCA_016536425.2;GCA_016539245.2
BACMET2 - Metal Resistance,arsB-BAC0573,BACMET2,9 (100.0%),9,100.0,GCA_001443265.1;GCA_001444225.1;GCA_001444265.1;GCA_014705785.1;GCA_014705825.1;GCA_014705885.1;GCA_016535705.2;GCA_016536425.2;GCA_016539245.2
BACMET2 - Metal Resistance,arsC-BAC0584,BACMET2,9 (100.0%),9,100.0,GCA_001443265.1;GCA_001444225.1;GCA_001444265.1;GCA_014705785.1;GCA_014705825.1;GCA_014705885.1;GCA_016535705.2;GCA_016536425.2;GCA_016539245.2
BACMET2 - Metal Resistance,pbrR-BAC0301,BACMET2,9 (100.0%),9,100.0,GCA_001443265.1;GCA_001444225.1;GCA_001444265.1;GCA_014705785.1;GCA_014705825.1;GCA_014705885.1;GCA_016535705.2;GCA_016536425.2;GCA_016539245.2
BACMET2 - Metal Resistance,copR-BAC0719,BACMET2,9 (100.0%),9,100.0,GCA_001443265.1;GCA_001444225.1;GCA_001444265.1;GCA_014705785.1;GCA_014705825.1;GCA_014705885.1;GCA_016535705.2;GCA_016536425.2;GCA_016539245.2
