Gene,Database,Frequency,Genomes
plc1,VFDB,1 (100.0%),GCA_000498375.2
ACICU_RS00395,VFDB,1 (100.0%),GCA_000498375.2
ACICU_RS00400,VFDB,1 (100.0%),GCA_000498375.2
ACICU_RS00405,VFDB,1 (100.0%),GCA_000498375.2
tviB,VFDB,1 (100.0%),GCA_000498375.2
pseB,VFDB,1 (100.0%),GCA_000498375.2
pseC,VFDB,1 (100.0%),GCA_000498375.2
pseF,VFDB,1 (100.0%),GCA_000498375.2
pseG,VFDB,1 (100.0%),GCA_000498375.2
pseH,VFDB,1 (100.0%),GCA_000498375.2
pseI,VFDB,1 (100.0%),GCA_000498375.2
ACICU_RS00470*,VFDB,1 (100.0%),GCA_000498375.2
ACICU_RS00475,VFDB,1 (100.0%),GCA_000498375.2
galU,VFDB,1 (100.0%),GCA_000498375.2
ACICU_RS00485,VFDB,1 (100.0%),GCA_000498375.2
pgi,VFDB,1 (100.0%),GCA_000498375.2
galE,VFDB,1 (100.0%),GCA_000498375.2
ACICU_RS00500,VFDB,1 (100.0%),GCA_000498375.2
abaI,VFDB,1 (100.0%),GCA_000498375.2
abaR,VFDB,1 (100.0%),GCA_000498375.2
tsaP,VFDB,1 (100.0%),GCA_000498375.2
pilR,VFDB,1 (100.0%),GCA_000498375.2
pilS,VFDB,1 (100.0%),GCA_000498375.2
pbpG,VFDB,1 (100.0%),GCA_000498375.2
gspN,VFDB,1 (100.0%),GCA_000498375.2
gspC,VFDB,1 (100.0%),GCA_000498375.2
gspD,VFDB,1 (100.0%),GCA_000498375.2
gspO/pilD,VFDB,1 (100.0%),GCA_000498375.2
pilC,VFDB,1 (100.0%),GCA_000498375.2
pilB,VFDB,1 (100.0%),GCA_000498375.2
gspF,VFDB,1 (100.0%),GCA_000498375.2
gspG,VFDB,1 (100.0%),GCA_000498375.2
fimV,VFDB,1 (100.0%),GCA_000498375.2
lpsB,VFDB,1 (100.0%),GCA_000498375.2
lpxL,VFDB,1 (100.0%),GCA_000498375.2
pilF,VFDB,1 (100.0%),GCA_000498375.2
gspE1,VFDB,1 (100.0%),GCA_000498375.2
bfmR,VFDB,1 (100.0%),GCA_000498375.2
bfmS,VFDB,1 (100.0%),GCA_000498375.2
pilU,VFDB,1 (100.0%),GCA_000498375.2
pilT,VFDB,1 (100.0%),GCA_000498375.2
ACICU_RS04565,VFDB,1 (100.0%),GCA_000498375.2
ACICU_RS04610,VFDB,1 (100.0%),GCA_000498375.2
vgrG/tssI,VFDB,1 (100.0%),GCA_000498375.2
tssB,VFDB,1 (100.0%),GCA_000498375.2
tssC,VFDB,1 (100.0%),GCA_000498375.2
hcp/tssD,VFDB,1 (100.0%),GCA_000498375.2
tssE,VFDB,1 (100.0%),GCA_000498375.2
tssF,VFDB,1 (100.0%),GCA_000498375.2
tssG,VFDB,1 (100.0%),GCA_000498375.2
tssM,VFDB,1 (100.0%),GCA_000498375.2
clpV/tssH,VFDB,1 (100.0%),GCA_000498375.2
tssA,VFDB,1 (100.0%),GCA_000498375.2
tssK,VFDB,1 (100.0%),GCA_000498375.2
tssL,VFDB,1 (100.0%),GCA_000498375.2
tagX,VFDB,1 (100.0%),GCA_000498375.2
gspH,VFDB,1 (100.0%),GCA_000498375.2
gspI,VFDB,1 (100.0%),GCA_000498375.2
gspK,VFDB,1 (100.0%),GCA_000498375.2
lpxB,VFDB,1 (100.0%),GCA_000498375.2
lpxA,VFDB,1 (100.0%),GCA_000498375.2
lpxD,VFDB,1 (100.0%),GCA_000498375.2
plc2,VFDB,1 (100.0%),GCA_000498375.2
pgaD,VFDB,1 (100.0%),GCA_000498375.2
pgaC,VFDB,1 (100.0%),GCA_000498375.2
pgaB,VFDB,1 (100.0%),GCA_000498375.2
pgaA,VFDB,1 (100.0%),GCA_000498375.2
csuE,VFDB,1 (100.0%),GCA_000498375.2
csuD,VFDB,1 (100.0%),GCA_000498375.2
csuC,VFDB,1 (100.0%),GCA_000498375.2
csuB,VFDB,1 (100.0%),GCA_000498375.2
csuA,VFDB,1 (100.0%),GCA_000498375.2
csuA/B,VFDB,1 (100.0%),GCA_000498375.2
gspM,VFDB,1 (100.0%),GCA_000498375.2
gspL,VFDB,1 (100.0%),GCA_000498375.2
gspE2,VFDB,1 (100.0%),GCA_000498375.2
adeF,VFDB,1 (100.0%),GCA_000498375.2
adeG,VFDB,1 (100.0%),GCA_000498375.2
adeH,VFDB,1 (100.0%),GCA_000498375.2
basJ,VFDB,1 (100.0%),GCA_000498375.2
basI,VFDB,1 (100.0%),GCA_000498375.2
basH,VFDB,1 (100.0%),GCA_000498375.2
barB,VFDB,1 (100.0%),GCA_000498375.2
barA,VFDB,1 (100.0%),GCA_000498375.2
basG,VFDB,1 (100.0%),GCA_000498375.2
basF,VFDB,1 (100.0%),GCA_000498375.2
entE,VFDB,1 (100.0%),GCA_000498375.2
basD,VFDB,1 (100.0%),GCA_000498375.2
basC,VFDB,1 (100.0%),GCA_000498375.2
bauA,VFDB,1 (100.0%),GCA_000498375.2
bauB,VFDB,1 (100.0%),GCA_000498375.2
bauE,VFDB,1 (100.0%),GCA_000498375.2
bauC,VFDB,1 (100.0%),GCA_000498375.2
bauD,VFDB,1 (100.0%),GCA_000498375.2
basB,VFDB,1 (100.0%),GCA_000498375.2
basA,VFDB,1 (100.0%),GCA_000498375.2
bauF,VFDB,1 (100.0%),GCA_000498375.2
lpxM,VFDB,1 (100.0%),GCA_000498375.2
bap,VFDB,1 (100.0%),GCA_000498375.2
pilJ,VFDB,1 (100.0%),GCA_000498375.2
pilI,VFDB,1 (100.0%),GCA_000498375.2
pilH,VFDB,1 (100.0%),GCA_000498375.2
pilG,VFDB,1 (100.0%),GCA_000498375.2
ompA,VFDB,1 (100.0%),GCA_000498375.2
fimT,VFDB,1 (100.0%),GCA_000498375.2
plcD,VFDB,1 (100.0%),GCA_000498375.2
pilE,VFDB,1 (100.0%),GCA_000498375.2
ACICU_RS16840,VFDB,1 (100.0%),GCA_000498375.2
pilY1,VFDB,1 (100.0%),GCA_000498375.2
pilX,VFDB,1 (100.0%),GCA_000498375.2
pilW,VFDB,1 (100.0%),GCA_000498375.2
pilV,VFDB,1 (100.0%),GCA_000498375.2
fimU,VFDB,1 (100.0%),GCA_000498375.2
pilA,VFDB,1 (100.0%),GCA_000498375.2
pilQ,VFDB,1 (100.0%),GCA_000498375.2
pilP,VFDB,1 (100.0%),GCA_000498375.2
pilO,VFDB,1 (100.0%),GCA_000498375.2
pilN,VFDB,1 (100.0%),GCA_000498375.2
pilM,VFDB,1 (100.0%),GCA_000498375.2
lpxC,VFDB,1 (100.0%),GCA_000498375.2
