file	sequence	start	end	strand	gene	coverage	coverage_map	gaps	coverage_percent	identity_percent	database	accession	product	resistance	genome
GCA_000498375.2.fasta	ENA|CP017152|CP017152.1	179863	180651	+	ANT(3'')-IIa	1-789/789	===============	0/0	100.00	97.97	card	GG704579.1:35369-34580	ANT(3'')-IIa is a aminoglycoside nucleotidyltransferase identified in Acinetobacter spp. via horizontal gene transfer mechanisms.	aminoglycoside	GCA_000498375.2
GCA_000498375.2.fasta	ENA|CP017152|CP017152.1	263827	265026	-	tet(B)	1-1200/1206	===============	0/0	99.50	99.83	card	AB089595.1:0-1206	Tet(B) is a tetracycline efflux protein expressed in many Gram-negative bacteria. It confers resistance to tetracycline doxycycline and minocycline but not tigecycline.	tetracycline	GCA_000498375.2
GCA_000498375.2.fasta	ENA|CP017152|CP017152.1	268399	269235	-	APH(6)-Id	1-837/837	===============	0/0	100.00	99.88	card	AF024602.1:3155-3992	APH(6)-Id is an aminoglycoside phosphotransferase encoded by plasmids integrative conjugative elements and chromosomal genomic islands in K. pneumoniae Salmonella spp. E. coli Shigella flexneri Providencia alcalifaciens Pseudomonas spp. V. cholerae Edwardsiella tarda Pasteurella multocida and Aeromonas bestiarum.	aminoglycoside	GCA_000498375.2
GCA_000498375.2.fasta	ENA|CP017152|CP017152.1	269235	270038	-	APH(3'')-Ib	1-804/804	===============	0/0	100.00	99.88	card	AF313472.2:15593-16397	APH(3'')-Ib is an aminoglycoside phosphotransferase encoded by plasmids transposons integrative conjugative elements and chromosomes in Enterobacteriaceae and Pseudomonas spp.	aminoglycoside	GCA_000498375.2
GCA_000498375.2.fasta	ENA|CP017152|CP017152.1	499577	500677	-	LpsB	1-1101/1101	===============	0/0	100.00	96.37	card	CP045110.1:522372-521271	LpsB is involved in lipopolysaccharide synthesis. It confers intrinsic resistance to colistin and other peptide antibiotics.	peptide	GCA_000498375.2
GCA_000498375.2.fasta	ENA|CP017152|CP017152.1	1312439	1313260	-	OXA-23	1-822/822	===============	0/0	100.00	100.00	card	AY795964.1:0-822	OXA-23 is a beta-lactamase found in A. baumannii.	carbapenem;penicillin_beta-lactam	GCA_000498375.2
GCA_000498375.2.fasta	ENA|CP017152|CP017152.1	1357129	1357968	-	sul1	1-840/840	===============	0/0	100.00	100.00	card	JF969163.1:1053-1893	Sul1 is a sulfonamide resistant dihydropteroate synthase of Gram-negative bacteria. It is linked to other resistance genes of class 1 integrons.	sulfonamide	GCA_000498375.2
GCA_000498375.2.fasta	ENA|CP017152|CP017152.1	1357962	1358309	-	qacEdelta1	1-348/348	===============	0/0	100.00	100.00	card	U49101.1:1490-1838	QacEdelta1 is a resistance gene conferring resistance to antiseptics. It is different from QacE only at the 3'-terminus.	disinfecting_agents_and_antiseptics	GCA_000498375.2
GCA_000498375.2.fasta	ENA|CP017152|CP017152.1	1360551	1361102	+	AAC(6')-Iaf	1-552/552	===============	0/0	100.00	98.01	card	AB462903.1:1199-1751	AAC(6')-Iaf is an aminoglycoside acetyltransferase encoded by plasmids and integrons in P. aeruginosa.	aminoglycoside	GCA_000498375.2
GCA_000498375.2.fasta	ENA|CP017152|CP017152.1	1364565	1365425	-	TEM-12	1-861/861	===============	0/0	100.00	99.88	card	M88143.1:367-1228	TEM-12 is an extended-spectrum beta-lactamase found in Klebsiella oxytoca.	cephalosporin;monobactam;penicillin_beta-lactam	GCA_000498375.2
GCA_000498375.2.fasta	ENA|CP017152|CP017152.1	1562272	1563561	-	Acinetobacter_baumannii_AbaF	1-1290/1290	===============	0/0	100.00	97.75	card	CP000521.1:1558523-1557233	Expression of abaF in E. coli resulted in increased resistance to fosfomycin.	phosphonic_acid	GCA_000498375.2
GCA_000498375.2.fasta	ENA|CP017152|CP017152.1	1816098	1816922	-	OXA-66	1-825/825	===============	0/0	100.00	100.00	card	EF016356.1:0-825	OXA-66 is a beta-lactamase found in A. baumannii.	carbapenem;penicillin_beta-lactam	GCA_000498375.2
GCA_000498375.2.fasta	ENA|CP017152|CP017152.1	2134614	2136011	-	adeC	1-1398/1398	===============	0/0	100.00	100.00	card	CP013924.1:2063742-2065140	AdeC is the outer membrane factor of the AdeABC multidrug efflux complex. It can be replaced by other outer membrane channels and is not essential for antibiotic resistance.	glycylcycline;tetracycline	GCA_000498375.2
GCA_000498375.2.fasta	ENA|CP017152|CP017152.1	2136088	2139195	-	adeB	1-3108/3108	===============	0/0	100.00	99.94	card	AF370885.1:4628-7736	AdeB is the multidrug transporter of the adeABC efflux system.	glycylcycline;tetracycline	GCA_000498375.2
