Gene,Database,Frequency,Genomes
ant(3'')-IIa,AMRfinder,1 (100.0%),GCA_000498375.2
parC_E88K,AMRfinder,1 (100.0%),GCA_000498375.2
tet(B),AMRfinder,1 (100.0%),GCA_000498375.2
aph(6)-Id,AMRfinder,1 (100.0%),GCA_000498375.2
aph(3'')-Ib,AMRfinder,1 (100.0%),GCA_000498375.2
nreB,AMRfinder,1 (100.0%),GCA_000498375.2
blaOXA-23,AMRfinder,1 (100.0%),GCA_000498375.2
merD,AMRfinder,1 (100.0%),GCA_000498375.2
merP,AMRfinder,1 (100.0%),GCA_000498375.2
merT,AMRfinder,1 (100.0%),GCA_000498375.2
merR,AMRfinder,1 (100.0%),GCA_000498375.2
sul1,AMRfinder,1 (100.0%),GCA_000498375.2
qacEdelta1,AMRfinder,1 (100.0%),GCA_000498375.2
aadA1,AMRfinder,1 (100.0%),GCA_000498375.2
aacA16,AMRfinder,1 (100.0%),GCA_000498375.2
blaTEM-1,AMRfinder,1 (100.0%),GCA_000498375.2
abaF,AMRfinder,1 (100.0%),GCA_000498375.2
blaOXA-66,AMRfinder,1 (100.0%),GCA_000498375.2
adeC,AMRfinder,1 (100.0%),GCA_000498375.2
amvA,AMRfinder,1 (100.0%),GCA_000498375.2
mph(E),AMRfinder,1 (100.0%),GCA_000498375.2
msr(E),AMRfinder,1 (100.0%),GCA_000498375.2
armA,AMRfinder,1 (100.0%),GCA_000498375.2
catB8,AMRfinder,1 (100.0%),GCA_000498375.2
aac(6')-Ib',AMRfinder,1 (100.0%),GCA_000498375.2
aph(3')-Ia,AMRfinder,1 (100.0%),GCA_000498375.2
blaADC-31,AMRfinder,1 (100.0%),GCA_000498375.2
cxpE,AMRfinder,1 (100.0%),GCA_000498375.2
gyrA_S81L,AMRfinder,1 (100.0%),GCA_000498375.2
ANT3-DPRIME,MEGARES,1 (100.0%),GCA_000498375.2
TETB,MEGARES,1 (100.0%),GCA_000498375.2
APH6,MEGARES,1 (100.0%),GCA_000498375.2
APH3-DPRIME,MEGARES,1 (100.0%),GCA_000498375.2
MEXT,MEGARES,1 (100.0%),GCA_000498375.2
OXA,MEGARES,1 (100.0%),GCA_000498375.2
SULI,MEGARES,1 (100.0%),GCA_000498375.2
AAC6-PRIME,MEGARES,1 (100.0%),GCA_000498375.2
TEM,MEGARES,1 (100.0%),GCA_000498375.2
BLAA,MEGARES,1 (100.0%),GCA_000498375.2
ABAF,MEGARES,1 (100.0%),GCA_000498375.2
ADEC,MEGARES,1 (100.0%),GCA_000498375.2
ADEB,MEGARES,1 (100.0%),GCA_000498375.2
ADEA,MEGARES,1 (100.0%),GCA_000498375.2
