file	sequence	start	end	strand	gene	coverage	coverage_map	gaps	coverage_percent	identity_percent	database	accession	product	resistance	genome
GCA_000498375.2.fasta	ENA|CP017152|CP017152.1	179863	180651	+	ANT3-DPRIME	1-789/789	===============	0/0	100.00	98.61	megares	MEG_913	Drugs:Aminoglycosides:Aminoglycoside_O-nucleotidyltransferases:ANT3-DPRIME		GCA_000498375.2
GCA_000498375.2.fasta	ENA|CP017152|CP017152.1	263827	265026	-	TETB	1-1200/1206	===============	0/0	99.50	100.00	megares	MEG_7042	Drugs:Tetracyclines:Tetracycline_resistance_MFS_efflux_pumps:TETB		GCA_000498375.2
GCA_000498375.2.fasta	ENA|CP017152|CP017152.1	268399	269235	-	APH6	1-837/837	===============	0/0	100.00	100.00	megares	MEG_1086	Drugs:Aminoglycosides:Aminoglycoside_O-phosphotransferases:APH6		GCA_000498375.2
GCA_000498375.2.fasta	ENA|CP017152|CP017152.1	269235	270048	-	APH3-DPRIME	15-828/828	===============	0/0	98.31	99.88	megares	MEG_1019	Drugs:Aminoglycosides:Aminoglycoside_O-phosphotransferases:APH3-DPRIME		GCA_000498375.2
GCA_000498375.2.fasta	ENA|CP017152|CP017152.1	1182656	1183645	-	MEXT	1-990/990	===============	0/0	100.00	100.00	megares	MEG_3934	Multi-compound:Drug_and_biocide_resistance:Drug_and_biocide_RND_efflux_regulator:MEXT		GCA_000498375.2
GCA_000498375.2.fasta	ENA|CP017152|CP017152.1	1312314	1313368	-	OXA	1-1062/1062	========/======	1/7	99.34	99.15	megares	MEG_5225	Drugs:betalactams:Class_D_betalactamases:OXA		GCA_000498375.2
GCA_000498375.2.fasta	ENA|CP017152|CP017152.1	1357002	1357969	-	SULI	1-968/968	===============	0/0	100.00	100.00	megares	MEG_6615	Drugs:Sulfonamides:Sulfonamide-resistant_dihydropteroate_synthases:SULI		GCA_000498375.2
GCA_000498375.2.fasta	ENA|CP017152|CP017152.1	1360551	1361133	+	AAC6-PRIME	1-582/582	========/======	1/1	100.00	99.66	megares	MEG_266	Drugs:Aminoglycosides:Aminoglycoside_N-acetyltransferases:AAC6-PRIME		GCA_000498375.2
GCA_000498375.2.fasta	ENA|CP017152|CP017152.1	1364524	1365792	-	TEM	1-1268/1268	========/======	1/1	100.00	99.84	megares	MEG_6875	Drugs:betalactams:Class_A_betalactamases:TEM		GCA_000498375.2
GCA_000498375.2.fasta	ENA|CP017152|CP017152.1	1477807	1479072	-	BLAA	6-1274/1275	========/======	1/3	99.29	96.38	megares	MEG_1247	Drugs:betalactams:Class_A_betalactamases:BLAA		GCA_000498375.2
GCA_000498375.2.fasta	ENA|CP017152|CP017152.1	1562272	1563561	-	ABAF	1-1290/1290	===============	0/0	100.00	97.75	megares	MEG_369	Drugs:Fosfomycin:Fosfomycin_MFS_efflux_pump:ABAF		GCA_000498375.2
GCA_000498375.2.fasta	ENA|CP017152|CP017152.1	1816019	1816967	+	OXA	11-961/961	========/======	2/2	98.75	97.27	megares	MEG_5236	Drugs:betalactams:Class_D_betalactamases:OXA		GCA_000498375.2
GCA_000498375.2.fasta	ENA|CP017152|CP017152.1	2134614	2136011	-	ADEC	1-1398/1398	===============	0/0	100.00	100.00	megares	MEG_679	Multi-compound:Drug_and_biocide_resistance:Drug_and_biocide_RND_efflux_pumps:ADEC		GCA_000498375.2
GCA_000498375.2.fasta	ENA|CP017152|CP017152.1	2136088	2139195	-	ADEB	1-3108/3108	===============	0/0	100.00	99.94	megares	MEG_678	Multi-compound:Drug_and_biocide_resistance:Drug_and_biocide_RND_efflux_pumps:ADEB		GCA_000498375.2
GCA_000498375.2.fasta	ENA|CP017152|CP017152.1	2139195	2140385	-	ADEA	1-1191/1191	===============	0/0	100.00	100.00	megares	MEG_677	Multi-compound:Drug_and_biocide_resistance:Drug_and_biocide_RND_efflux_pumps:ADEA		GCA_000498375.2
GCA_000498375.2.fasta	ENA|CP017152|CP017152.1	2140531	2141274	+	ADER	1-744/744	===============	0/0	100.00	98.12	megares	MEG_703	Multi-compound:Drug_and_biocide_resistance:Drug_and_biocide_RND_efflux_regulator:ADER		GCA_000498375.2
GCA_000498375.2.fasta	ENA|CP017152|CP017152.1	2141306	2142370	+	ADES	1-1065/1086	===============	0/0	98.07	96.62	megares	MEG_704	Multi-compound:Drug_and_biocide_resistance:Drug_and_biocide_RND_efflux_regulator:ADES		GCA_000498375.2
GCA_000498375.2.fasta	ENA|CP017152|CP017152.1	2142584	2143498	+	ADET1	1-915/915	===============	0/0	100.00	96.94	megares	MEG_705	Multi-compound:Drug_and_biocide_resistance:Drug_and_biocide_RND_efflux_pumps:ADET1		GCA_000498375.2
GCA_000498375.2.fasta	ENA|CP017152|CP017152.1	2286245	2287262	+	BLAA	1-1018/1020	===============	0/0	99.80	91.94	megares	MEG_1246	Drugs:betalactams:Class_A_betalactamases:BLAA		GCA_000498375.2
GCA_000498375.2.fasta	ENA|CP017152|CP017152.1	2318587	2319891	-	ABAQ	1-1305/1305	===============	0/0	100.00	97.85	megares	MEG_370	Drugs:Fosfomycin:Fosfomycin_MFS_efflux_pump:ABAQ		GCA_000498375.2
GCA_000498375.2.fasta	ENA|CP017152|CP017152.1	2476165	2476818	+	ADEN	1-654/654	===============	0/0	100.00	98.78	megares	MEG_702	Multi-compound:Drug_and_biocide_resistance:Drug_and_biocide_RND_efflux_regulator:ADEN		GCA_000498375.2
GCA_000498375.2.fasta	ENA|CP017152|CP017152.1	2587342	2588820	-	AMVA	1-1479/1479	===============	0/0	100.00	97.16	megares	MEG_733	Multi-compound:Drug_and_biocide_resistance:Drug_and_biocide_MFS_efflux_pumps:AMVA		GCA_000498375.2
GCA_000498375.2.fasta	ENA|CP017152|CP017152.1	2754726	2755610	-	MPHE	1-885/885	===============	0/0	100.00	100.00	megares	MEG_4044	Drugs:MLS:Macrolide_phosphotransferases:MPHE		GCA_000498375.2
GCA_000498375.2.fasta	ENA|CP017152|CP017152.1	2755666	2757141	-	MSRE	1-1476/1476	===============	0/0	100.00	100.00	megares	MEG_4075	Drugs:MLS:MLS_resistance_ABC_efflux_pumps:MSRE		GCA_000498375.2
