file	sequence	start	end	strand	gene	coverage	coverage_map	gaps	coverage_percent	identity_percent	database	accession	product	resistance	genome
GCA_000498375.2.fasta	ENA|CP017152|CP017152.1	179863	180651	+	(AGly)ant(3'')-IIa	1-789/789	===============	0/0	100.00	97.97	argannot	NG_054648:101-889	(AGly)ant(3'')-IIa		GCA_000498375.2
GCA_000498375.2.fasta	ENA|CP017152|CP017152.1	263827	265026	-	(Tet)tetB	1-1200/1206	===============	0/0	99.50	99.75	argannot	AB089594:1-1206	(Tet)tetB		GCA_000498375.2
GCA_000498375.2.fasta	ENA|CP017152|CP017152.1	268399	269235	-	(AGly)strB	1-837/837	===============	0/0	100.00	100.00	argannot	FJ474091:264-1100	(AGly)strB		GCA_000498375.2
GCA_000498375.2.fasta	ENA|CP017152|CP017152.1	269235	270038	-	(AGly)strA	1-804/804	===============	0/0	100.00	100.00	argannot	AB366441:22458-23261	(AGly)strA		GCA_000498375.2
GCA_000498375.2.fasta	ENA|CP017152|CP017152.1	1312439	1313260	-	(Bla)blaOXA-23	1-822/822	===============	0/0	100.00	100.00	argannot	EF120622:1499-2320	(Bla)blaOXA-23		GCA_000498375.2
GCA_000498375.2.fasta	ENA|CP017152|CP017152.1	1357129	1357968	-	(Sul)sul1	1-840/840	===============	0/0	100.00	100.00	argannot	AF071413:6700-7539	(Sul)sul1		GCA_000498375.2
GCA_000498375.2.fasta	ENA|CP017152|CP017152.1	1360551	1361102	+	(AGly)aac6-Iaf	1-552/552	===============	0/0	100.00	98.01	argannot	AB462903:1200-1751	(AGly)aac6-Iaf		GCA_000498375.2
GCA_000498375.2.fasta	ENA|CP017152|CP017152.1	1364565	1365425	-	(Bla)blaTEM-1D	1-861/861	===============	0/0	100.00	100.00	argannot	AF188200:215-1075	(Bla)blaTEM-1D		GCA_000498375.2
GCA_000498375.2.fasta	ENA|CP017152|CP017152.1	1477807	1479072	-	(Bla)BlaA2	6-1274/1275	========/======	1/3	99.29	96.38	argannot	NC_010410:2507740-2509014	(Bla)BlaA2		GCA_000498375.2
GCA_000498375.2.fasta	ENA|CP017152|CP017152.1	1816098	1816922	-	(Bla)blaOXA-66	1-825/825	===============	0/0	100.00	100.00	argannot	EF051061:485-1309	(Bla)blaOXA-66		GCA_000498375.2
GCA_000498375.2.fasta	ENA|CP017152|CP017152.1	2041782	2042477	+	(Bla)Mbl	1-696/696	===============	0/0	100.00	98.56	argannot	NC_010410:c1997136-1996441	(Bla)Mbl		GCA_000498375.2
GCA_000498375.2.fasta	ENA|CP017152|CP017152.1	2286245	2287262	+	(Bla)BlaA1	1-1018/1020	===============	0/0	99.80	91.94	argannot	NC_010410:1803480-1804499	(Bla)BlaA1		GCA_000498375.2
GCA_000498375.2.fasta	ENA|CP017152|CP017152.1	2754726	2755610	-	(MLS)mph(E)	1-885/885	===============	0/0	100.00	99.89	argannot	JF769133:8777-9661	(MLS)mph(E)		GCA_000498375.2
GCA_000498375.2.fasta	ENA|CP017152|CP017152.1	2755666	2757141	-	(MLS)msr(E)	1-1476/1476	===============	0/0	100.00	100.00	argannot	JF769133:7246-8721	(MLS)msr(E)		GCA_000498375.2
GCA_000498375.2.fasta	ENA|CP017152|CP017152.1	2759440	2760213	-	(AGly)armA	1-774/774	===============	0/0	100.00	100.00	argannot	AY220558:1978-2751	(AGly)armA		GCA_000498375.2
GCA_000498375.2.fasta	ENA|CP017152|CP017152.1	2763558	2764397	-	(Sul)sul1	1-840/840	===============	0/0	100.00	100.00	argannot	AF071413:6700-7539	(Sul)sul1		GCA_000498375.2
GCA_000498375.2.fasta	ENA|CP017152|CP017152.1	2764902	2765703	-	(AGly)aadA1-pm	30-831/831	===============	0/0	96.51	99.88	argannot	JQ690540:7968-8798	(AGly)aadA1-pm		GCA_000498375.2
GCA_000498375.2.fasta	ENA|CP017152|CP017152.1	2765751	2766383	-	(Phe)catB8	1-633/633	===============	0/0	100.00	100.00	argannot	AF227506:253-885	(Phe)catB8		GCA_000498375.2
GCA_000498375.2.fasta	ENA|CP017152|CP017152.1	2768877	2769692	-	(AGly)aph(3'')-Ia	1-816/816	===============	0/0	100.00	99.88	argannot	FJ172370:38668-39483	(AGly)aph(3'')-Ia		GCA_000498375.2
GCA_000498375.2.fasta	ENA|CP017152|CP017152.1	3026706	3027857	+	(Bla)blaADC-25	1-1152/1152	===============	0/0	100.00	99.83	argannot	EF016355:1-1152	(Bla)blaADC-25		GCA_000498375.2
GCA_000498375.2.fasta	ENA|CP017152|CP017152.1	3324242	3325204	-	(Bla)Zn-dependent_hydrolase	1-963/963	===============	0/0	100.00	98.86	argannot	NC_010410:882015-882977	(Bla)Zn-dependent_hydrolase		GCA_000498375.2
