file	sequence	start	end	strand	gene	coverage	coverage_map	gaps	coverage_percent	identity_percent	database	accession	product	resistance	genome
GCA_000498375.2.fasta	ENA|CP017152|CP017152.1	73442	75610	+	plc1	1-2169/2169	===============	0/0	100.00	98.02	vfdb	WP_001081735	(plc1) phospholipase C [Phospholipase C (VF0470) - Exotoxin (VFC0235)] [Acinetobacter baumannii ACICU]		GCA_000498375.2
GCA_000498375.2.fasta	ENA|CP017152|CP017152.1	81067	83250	-	ACICU_RS00395	1-2187/2187	========/======	1/3	99.86	88.94	vfdb	WP_001075965	(ACICU_RS00395) polysaccharide biosynthesis tyrosine autokinase [Capsule (VF0465) - Immune modulation (VFC0258)] [Acinetobacter baumannii ACICU]		GCA_000498375.2
GCA_000498375.2.fasta	ENA|CP017152|CP017152.1	83269	83697	-	ACICU_RS00400	1-429/429	===============	0/0	100.00	84.38	vfdb	WP_001165990	(ACICU_RS00400) low molecular weight phosphotyrosine protein phosphatase [Capsule (VF0465) - Immune modulation (VFC0258)] [Acinetobacter baumannii ACICU]		GCA_000498375.2
GCA_000498375.2.fasta	ENA|CP017152|CP017152.1	83702	84802	-	ACICU_RS00405	1-1101/1101	===============	0/0	100.00	86.56	vfdb	WP_000872593	(ACICU_RS00405) polysaccharide biosynthesis/export family protein [Capsule (VF0465) - Immune modulation (VFC0258)] [Acinetobacter baumannii ACICU]		GCA_000498375.2
GCA_000498375.2.fasta	ENA|CP017152|CP017152.1	85158	86432	+	tviB	1-1275/1275	===============	0/0	100.00	92.78	vfdb	WP_001165095	(tviB) Vi polysaccharide biosynthesis UDP-N-acetylglucosamine C-6 dehydrogenase TviB [Capsule (VF0465) - Immune modulation (VFC0258)] [Acinetobacter baumannii ACICU]		GCA_000498375.2
GCA_000498375.2.fasta	ENA|CP017152|CP017152.1	86479	87477	+	pseB	1-999/999	===============	0/0	100.00	96.80	vfdb	WP_000939040	(pseB) UDP-N-acetylglucosamine 46-dehydratase (inverting) [Capsule (VF0465) - Immune modulation (VFC0258)] [Acinetobacter baumannii ACICU]		GCA_000498375.2
GCA_000498375.2.fasta	ENA|CP017152|CP017152.1	87479	88639	+	pseC	1-1161/1161	===============	0/0	100.00	98.28	vfdb	WP_000470518	(pseC) UDP-4-amino-4 6-dideoxy-N-acetyl-beta-L-altrosamine transaminase [Capsule (VF0465) - Immune modulation (VFC0258)] [Acinetobacter baumannii ACICU]		GCA_000498375.2
GCA_000498375.2.fasta	ENA|CP017152|CP017152.1	88642	89334	+	pseF	1-693/693	===============	0/0	100.00	98.70	vfdb	WP_001175206	(pseF) pseudaminic acid cytidylyltransferase [Capsule (VF0465) - Immune modulation (VFC0258)] [Acinetobacter baumannii ACICU]		GCA_000498375.2
GCA_000498375.2.fasta	ENA|CP017152|CP017152.1	89338	90435	+	pseG	1-1098/1098	===============	0/0	100.00	98.45	vfdb	WP_000666850	(pseG) UDP-24-diacetamido-24 6-trideoxy-beta-L-altropyranose hydrolase [Capsule (VF0465) - Immune modulation (VFC0258)] [Acinetobacter baumannii ACICU]		GCA_000498375.2
GCA_000498375.2.fasta	ENA|CP017152|CP017152.1	90429	90944	+	pseH	1-516/516	===============	0/0	100.00	97.48	vfdb	WP_000886731	(pseH) UDP-4-amino-4 6-dideoxy-N-acetyl-beta-L-altrosamine N-acetyltransferase [Capsule (VF0465) - Immune modulation (VFC0258)] [Acinetobacter baumannii ACICU]		GCA_000498375.2
GCA_000498375.2.fasta	ENA|CP017152|CP017152.1	90946	91995	+	pseI	1-1050/1050	===============	0/0	100.00	93.14	vfdb	WP_000037963	(pseI) pseudaminic acid synthase [Capsule (VF0465) - Immune modulation (VFC0258)] [Acinetobacter baumannii ACICU]		GCA_000498375.2
GCA_000498375.2.fasta	ENA|CP017152|CP017152.1	96258	97082	+	ACICU_RS00470*	10-833/833	========/======	1/1	98.92	90.30	vfdb		(ACICU_RS00470*) glycosyltransferase [Capsule (VF0465) - Immune modulation (VFC0258)] [Acinetobacter baumannii ACICU]		GCA_000498375.2
GCA_000498375.2.fasta	ENA|CP017152|CP017152.1	97095	97715	+	ACICU_RS00475	1-621/621	===============	0/0	100.00	95.17	vfdb	WP_000826956	(ACICU_RS00475) sugar transferase [Capsule (VF0465) - Immune modulation (VFC0258)] [Acinetobacter baumannii ACICU]		GCA_000498375.2
GCA_000498375.2.fasta	ENA|CP017152|CP017152.1	97740	98615	+	galU	1-876/876	===============	0/0	100.00	96.58	vfdb	WP_000591436	(galU) UTP--glucose-1-phosphate uridylyltransferase GalU [Capsule (VF0465) - Immune modulation (VFC0258)] [Acinetobacter baumannii ACICU]		GCA_000498375.2
GCA_000498375.2.fasta	ENA|CP017152|CP017152.1	98731	99993	+	ACICU_RS00485	1-1263/1263	===============	0/0	100.00	99.37	vfdb	WP_000686134	(ACICU_RS00485) nucleotide sugar dehydrogenase [Capsule (VF0465) - Immune modulation (VFC0258)] [Acinetobacter baumannii ACICU]		GCA_000498375.2
GCA_000498375.2.fasta	ENA|CP017152|CP017152.1	99990	101660	+	pgi	1-1671/1671	===============	0/0	100.00	98.56	vfdb	WP_000045495	(pgi) glucose-6-phosphate isomerase [Capsule (VF0465) - Immune modulation (VFC0258)] [Acinetobacter baumannii ACICU]		GCA_000498375.2
GCA_000498375.2.fasta	ENA|CP017152|CP017152.1	101653	102669	+	galE	1-1017/1017	===============	0/0	100.00	99.80	vfdb	WP_001062908	(galE) UDP-glucose 4-epimerase GalE [Capsule (VF0465) - Immune modulation (VFC0258)] [Acinetobacter baumannii ACICU]		GCA_000498375.2
GCA_000498375.2.fasta	ENA|CP017152|CP017152.1	102714	104084	-	ACICU_RS00500	1-1371/1371	===============	0/0	100.00	96.35	vfdb	WP_000209960	(ACICU_RS00500) phosphomannomutase/phosphoglucomutase [Capsule (VF0465) - Immune modulation (VFC0258)] [Acinetobacter baumannii ACICU]		GCA_000498375.2
GCA_000498375.2.fasta	ENA|CP017152|CP017152.1	150291	150857	-	abaI	1-567/567	===============	0/0	100.00	99.12	vfdb	WP_002023245	(abaI) N-acyl-L-homoserine lactone synthetase [Quorom sensing (VF0471) - Biofilm (VFC0271)] [Acinetobacter baumannii ACICU]		GCA_000498375.2
GCA_000498375.2.fasta	ENA|CP017152|CP017152.1	153130	153709	+	abaR	1-580/717	=============..	0/0	80.89	98.62	vfdb	WP_000446779	(abaR) DNA-binding HTH domain-containing protein [Quorom sensing (VF0471) - Biofilm (VFC0271)] [Acinetobacter baumannii ACICU]		GCA_000498375.2
GCA_000498375.2.fasta	ENA|CP017152|CP017152.1	209220	210374	-	tsaP	1-1155/1155	===============	0/0	100.00	98.96	vfdb	WP_000755268	(tsaP) LysM peptidoglycan-binding domain-containing protein [TFP (VF1334) - Adherence (VFC0001)] [Acinetobacter baumannii ACICU]		GCA_000498375.2
GCA_000498375.2.fasta	ENA|CP017152|CP017152.1	287347	288768	-	pilR	1-1422/1422	===============	0/0	100.00	97.96	vfdb	WP_000840548	(pilR) sigma-54 dependent transcriptional regulator [TFP (VF1334) - Adherence (VFC0001)] [Acinetobacter baumannii ACICU]		GCA_000498375.2
GCA_000498375.2.fasta	ENA|CP017152|CP017152.1	288793	290361	-	pilS	1-1569/1569	===============	0/0	100.00	98.02	vfdb	WP_001160337	(pilS) PAS domain-containing sensor histidine kinase [TFP (VF1334) - Adherence (VFC0001)] [Acinetobacter baumannii ACICU]		GCA_000498375.2
GCA_000498375.2.fasta	ENA|CP017152|CP017152.1	291220	292266	+	pbpG	1-1047/1047	===============	0/0	100.00	100.00	vfdb	WP_003384760	(pbpG) D-alanyl-D-alanine endopeptidase PBP7/8 [PbpG (VF0468) - Immune modulation (VFC0258)] [Acinetobacter baumannii ACICU]		GCA_000498375.2
GCA_000498375.2.fasta	ENA|CP017152|CP017152.1	321665	322408	+	gspN	1-744/744	===============	0/0	100.00	100.00	vfdb	WP_000730343	(gspN) type II secretion system protein N [T2SS (VF1335) - Effector delivery system (VFC0086)] [Acinetobacter baumannii ACICU]		GCA_000498375.2
GCA_000498375.2.fasta	ENA|CP017152|CP017152.1	322408	323244	+	gspC	1-837/837	===============	0/0	100.00	100.00	vfdb	WP_000870033	(gspC) general secretion pathway protein C [T2SS (VF1335) - Effector delivery system (VFC0086)] [Acinetobacter baumannii ACICU]		GCA_000498375.2
GCA_000498375.2.fasta	ENA|CP017152|CP017152.1	323286	325562	+	gspD	1-2277/2277	===============	0/0	100.00	100.00	vfdb	WP_001196426	(gspD) general secretion pathway protein D [T2SS (VF1335) - Effector delivery system (VFC0086)] [Acinetobacter baumannii ACICU]		GCA_000498375.2
GCA_000498375.2.fasta	ENA|CP017152|CP017152.1	380574	381434	-	gspO/pilD	1-861/861	===============	0/0	100.00	100.00	vfdb	WP_001152285	(gspO/pilD) A24 family peptidase [TFP (VF1334) - Adherence (VFC0001)] [Acinetobacter baumannii ACICU]		GCA_000498375.2
GCA_000498375.2.fasta	ENA|CP017152|CP017152.1	381434	382660	-	pilC	1-1227/1227	===============	0/0	100.00	100.00	vfdb	WP_000279216	(pilC) type II secretion system F family protein [TFP (VF1334) - Adherence (VFC0001)] [Acinetobacter baumannii ACICU]		GCA_000498375.2
GCA_000498375.2.fasta	ENA|CP017152|CP017152.1	382690	384402	-	pilB	1-1713/1713	===============	0/0	100.00	100.00	vfdb	WP_001274990	(pilB) type IV-A pilus assembly ATPase PilB [TFP (VF1334) - Adherence (VFC0001)] [Acinetobacter baumannii ACICU]		GCA_000498375.2
GCA_000498375.2.fasta	ENA|CP017152|CP017152.1	433086	434291	+	gspF	1-1206/1206	===============	0/0	100.00	100.00	vfdb	WP_001112089	(gspF) general secretion pathway protein F [T2SS (VF1335) - Effector delivery system (VFC0086)] [Acinetobacter baumannii ACICU]		GCA_000498375.2
GCA_000498375.2.fasta	ENA|CP017152|CP017152.1	434315	434896	+	gspG	1-582/582	===============	0/0	100.00	100.00	vfdb	WP_000865310	(gspG) general secretion pathway protein G [T2SS (VF1335) - Effector delivery system (VFC0086)] [Acinetobacter baumannii ACICU]		GCA_000498375.2
GCA_000498375.2.fasta	ENA|CP017152|CP017152.1	493602	494966	-	fimV	1-1365/1365	===============	0/0	100.00	100.00	vfdb	WP_000128073	(fimV) hypothetical protein [TFP (VF1334) - Adherence (VFC0001)] [Acinetobacter baumannii ACICU]		GCA_000498375.2
GCA_000498375.2.fasta	ENA|CP017152|CP017152.1	499577	500677	-	lpsB	1-1101/1101	===============	0/0	100.00	100.00	vfdb	WP_000867091	(lpsB) glycosyltransferase family 4 protein [LPS (VF0466) - Immune modulation (VFC0258)] [Acinetobacter baumannii ACICU]		GCA_000498375.2
GCA_000498375.2.fasta	ENA|CP017152|CP017152.1	500943	501878	-	lpxL	1-936/936	===============	0/0	100.00	100.00	vfdb	WP_000078878	(lpxL) lauroyl acyltransferase [LPS (VF0466) - Immune modulation (VFC0258)] [Acinetobacter baumannii ACICU]		GCA_000498375.2
GCA_000498375.2.fasta	ENA|CP017152|CP017152.1	574076	574876	+	pilF	1-801/801	===============	0/0	100.00	100.00	vfdb	WP_002027454	(pilF) type IV pilus biogenesis/stability protein PilW [TFP (VF1334) - Adherence (VFC0001)] [Acinetobacter baumannii ACICU]		GCA_000498375.2
GCA_000498375.2.fasta	ENA|CP017152|CP017152.1	692700	694190	+	gspE1	1-1491/1491	===============	0/0	100.00	100.00	vfdb	WP_001166319	(gspE1) general secretion pathway protein E [T2SS (VF1335) - Effector delivery system (VFC0086)] [Acinetobacter baumannii ACICU]		GCA_000498375.2
GCA_000498375.2.fasta	ENA|CP017152|CP017152.1	811555	812271	+	bfmR	1-717/717	===============	0/0	100.00	100.00	vfdb	WP_000076440	(bfmR) biofilm-controlling response regulator [BfmRS (VF0463) - Regulation (VFC0301)] [Acinetobacter baumannii ACICU]		GCA_000498375.2
GCA_000498375.2.fasta	ENA|CP017152|CP017152.1	812304	813953	+	bfmS	1-1650/1650	===============	0/0	100.00	100.00	vfdb	WP_000472465	(bfmS) signal transduction histidine kinase [BfmRS (VF0463) - Regulation (VFC0301)] [Acinetobacter baumannii ACICU]		GCA_000498375.2
GCA_000498375.2.fasta	ENA|CP017152|CP017152.1	962525	963643	-	pilU	1-1119/1119	===============	0/0	100.00	100.00	vfdb	WP_000347039	(pilU) PilT/PilU family type 4a pilus ATPase [TFP (VF1334) - Adherence (VFC0001)] [Acinetobacter baumannii ACICU]		GCA_000498375.2
GCA_000498375.2.fasta	ENA|CP017152|CP017152.1	963671	964708	-	pilT	1-1038/1038	===============	0/0	100.00	100.00	vfdb	WP_000355489	(pilT) type IV pilus twitching motility protein PilT [TFP (VF1334) - Adherence (VFC0001)] [Acinetobacter baumannii ACICU]		GCA_000498375.2
GCA_000498375.2.fasta	ENA|CP017152|CP017152.1	1079524	1080414	+	ACICU_RS04565	1-891/891	===============	0/0	100.00	94.16	vfdb	WP_001105554	(ACICU_RS04565) LysR family transcriptional regulator [HemO cluster (VF0636) - Nutritional/Metabolic factor (VFC0272)] [Acinetobacter baumannii ACICU]		GCA_000498375.2
GCA_000498375.2.fasta	ENA|CP017152|CP017152.1	1080429	1080704	-	ACICU_RS04610	1-276/276	===============	0/0	100.00	91.30	vfdb	WP_000061137	(ACICU_RS04610) hypothetical protein [HemO cluster (VF0636) - Nutritional/Metabolic factor (VFC0272)] [Acinetobacter baumannii ACICU]		GCA_000498375.2
GCA_000498375.2.fasta	ENA|CP017152|CP017152.1	1480705	1483881	+	vgrG/tssI	1-3177/3177	===============	0/0	100.00	99.94	vfdb	WP_000934999	(vgrG/tssI) type VI secretion system tip protein VgrG [T6SS (VF1337) - Effector delivery system (VFC0086)] [Acinetobacter baumannii ACICU]		GCA_000498375.2
GCA_000498375.2.fasta	ENA|CP017152|CP017152.1	1523728	1524231	+	tssB	1-504/504	===============	0/0	100.00	100.00	vfdb	WP_001119042	(tssB) type VI secretion system contractile sheath small subunit [T6SS (VF1337) - Effector delivery system (VFC0086)] [Acinetobacter baumannii ACICU]		GCA_000498375.2
GCA_000498375.2.fasta	ENA|CP017152|CP017152.1	1524224	1525705	+	tssC	1-1482/1482	===============	0/0	100.00	100.00	vfdb	WP_001066523	(tssC) type VI secretion system contractile sheath large subunit [T6SS (VF1337) - Effector delivery system (VFC0086)] [Acinetobacter baumannii ACICU]		GCA_000498375.2
GCA_000498375.2.fasta	ENA|CP017152|CP017152.1	1525755	1526258	+	hcp/tssD	1-504/504	===============	0/0	100.00	100.00	vfdb	WP_000653195	(hcp/tssD) type VI secretion system tube protein Hcp [T6SS (VF1337) - Effector delivery system (VFC0086)] [Acinetobacter baumannii ACICU]		GCA_000498375.2
GCA_000498375.2.fasta	ENA|CP017152|CP017152.1	1526338	1526814	+	tssE	1-477/477	===============	0/0	100.00	100.00	vfdb	WP_001047031	(tssE) type VI secretion system baseplate subunit TssE [T6SS (VF1337) - Effector delivery system (VFC0086)] [Acinetobacter baumannii ACICU]		GCA_000498375.2
GCA_000498375.2.fasta	ENA|CP017152|CP017152.1	1526831	1528642	+	tssF	1-1812/1812	===============	0/0	100.00	100.00	vfdb	WP_000568832	(tssF) type VI secretion system baseplate subunit TssF [T6SS (VF1337) - Effector delivery system (VFC0086)] [Acinetobacter baumannii ACICU]		GCA_000498375.2
GCA_000498375.2.fasta	ENA|CP017152|CP017152.1	1528606	1529604	+	tssG	1-999/999	===============	0/0	100.00	100.00	vfdb	WP_001190395	(tssG) type VI secretion system baseplate subunit TssG [T6SS (VF1337) - Effector delivery system (VFC0086)] [Acinetobacter baumannii ACICU]		GCA_000498375.2
GCA_000498375.2.fasta	ENA|CP017152|CP017152.1	1531044	1534868	+	tssM	1-3825/3825	===============	0/0	100.00	99.97	vfdb	WP_000556915	(tssM) type VI secretion system membrane subunit TssM [T6SS (VF1337) - Effector delivery system (VFC0086)] [Acinetobacter baumannii ACICU]		GCA_000498375.2
GCA_000498375.2.fasta	ENA|CP017152|CP017152.1	1538167	1540848	+	clpV/tssH	1-2682/2682	===============	0/0	100.00	100.00	vfdb	WP_002001416	(clpV/tssH) type VI secretion system ATPase TssH [T6SS (VF1337) - Effector delivery system (VFC0086)] [Acinetobacter baumannii ACICU]		GCA_000498375.2
GCA_000498375.2.fasta	ENA|CP017152|CP017152.1	1540872	1541966	+	tssA	1-1095/1095	===============	0/0	100.00	100.00	vfdb	WP_000020713	(tssA) type VI secretion system protein TssA [T6SS (VF1337) - Effector delivery system (VFC0086)] [Acinetobacter baumannii ACICU]		GCA_000498375.2
GCA_000498375.2.fasta	ENA|CP017152|CP017152.1	1541983	1543347	+	tssK	1-1365/1365	===============	0/0	100.00	100.00	vfdb	WP_000471445	(tssK) type VI secretion system baseplate subunit TssK [T6SS (VF1337) - Effector delivery system (VFC0086)] [Acinetobacter baumannii ACICU]		GCA_000498375.2
GCA_000498375.2.fasta	ENA|CP017152|CP017152.1	1543365	1544171	+	tssL	1-807/807	===============	0/0	100.00	100.00	vfdb	WP_000083625	(tssL) type IVB secretion system protein TssL [T6SS (VF1337) - Effector delivery system (VFC0086)] [Acinetobacter baumannii ACICU]		GCA_000498375.2
GCA_000498375.2.fasta	ENA|CP017152|CP017152.1	1544794	1545747	+	tagX	1-954/954	===============	0/0	100.00	100.00	vfdb	WP_000972583	(tagX) type VI-associated gene X peptidoglycan hydrolase [T6SS (VF1337) - Effector delivery system (VFC0086)] [Acinetobacter baumannii ACICU]		GCA_000498375.2
GCA_000498375.2.fasta	ENA|CP017152|CP017152.1	1864984	1865538	+	gspH	1-555/555	===============	0/0	100.00	100.00	vfdb	WP_000841373	(gspH) general secretion pathway protein H [T2SS (VF1335) - Effector delivery system (VFC0086)] [Acinetobacter baumannii ACICU]		GCA_000498375.2
GCA_000498375.2.fasta	ENA|CP017152|CP017152.1	1865528	1865908	+	gspI	1-381/381	===============	0/0	100.00	100.00	vfdb	WP_000836911	(gspI) general secretion pathway protein I [T2SS (VF1335) - Effector delivery system (VFC0086)] [Acinetobacter baumannii ACICU]		GCA_000498375.2
GCA_000498375.2.fasta	ENA|CP017152|CP017152.1	1866609	1867568	+	gspK	1-960/960	===============	0/0	100.00	99.90	vfdb	WP_000301479	(gspK) general secretion pathway protein K [T2SS (VF1335) - Effector delivery system (VFC0086)] [Acinetobacter baumannii ACICU]		GCA_000498375.2
GCA_000498375.2.fasta	ENA|CP017152|CP017152.1	1999061	2000236	+	lpxB	1-1176/1176	===============	0/0	100.00	100.00	vfdb	WP_000013434	(lpxB) lipid-A-disaccharide synthase [LPS (VF0466) - Immune modulation (VFC0258)] [Acinetobacter baumannii ACICU]		GCA_000498375.2
