Gene,Frequency,Genomes
galE-BAC0755,1 (100.0%),GCA_000498375.2
acn-BAC0003,1 (100.0%),GCA_000498375.2
znuB/yebI-BAC0464,1 (100.0%),GCA_000498375.2
znuC/yebM-BAC0465,1 (100.0%),GCA_000498375.2
comR/ycfQ-BAC0076,1 (100.0%),GCA_000498375.2
blt-BAC0050,1 (100.0%),GCA_000498375.2
corR-BAC0089,1 (100.0%),GCA_000498375.2
dsbC-BAC0138,1 (100.0%),GCA_000498375.2
abuO-BAC0758,1 (100.0%),GCA_000498375.2
frnE-BAC0170,1 (100.0%),GCA_000498375.2
mdtN/yjcR-BAC0220,1 (100.0%),GCA_000498375.2
cutE/lnt-BAC0115,1 (100.0%),GCA_000498375.2
corC-BAC0088,1 (100.0%),GCA_000498375.2
adeL-BAC0508,1 (100.0%),GCA_000498375.2
oxyRkp-BAC0536,1 (100.0%),GCA_000498375.2
fabI-BAC0156,1 (100.0%),GCA_000498375.2
smeF-BAC0360,1 (100.0%),GCA_000498375.2
nreB-BAC0285,1 (100.0%),GCA_000498375.2
pcoA-BAC0303,1 (100.0%),GCA_000498375.2
sugE-BAC0378,1 (100.0%),GCA_000498375.2
cpxR-BAC0533,1 (100.0%),GCA_000498375.2
bfrA-BAC0048,1 (100.0%),GCA_000498375.2
fabL/ygaA-BAC0158,1 (100.0%),GCA_000498375.2
arsT-BAC0714,1 (100.0%),GCA_000498375.2
vceA-BAC0418,1 (100.0%),GCA_000498375.2
vceB-BAC0419,1 (100.0%),GCA_000498375.2
pitA-BAC0312,1 (100.0%),GCA_000498375.2
mexT-BAC0244,1 (100.0%),GCA_000498375.2
pbrR-BAC0301,1 (100.0%),GCA_000498375.2
nikB-BAC0271,1 (100.0%),GCA_000498375.2
nikD-BAC0273,1 (100.0%),GCA_000498375.2
nikE-BAC0274,1 (100.0%),GCA_000498375.2
merA-BAC0652,1 (100.0%),GCA_000498375.2
merC-BAC0664,1 (100.0%),GCA_000498375.2
merP-BAC0678,1 (100.0%),GCA_000498375.2
merT-BAC0695,1 (100.0%),GCA_000498375.2
merR-BAC0689,1 (100.0%),GCA_000498375.2
qacEdelta1-BAC0323,1 (100.0%),GCA_000498375.2
golT-BAC0183,1 (100.0%),GCA_000498375.2
hmrR-BAC0190,1 (100.0%),GCA_000498375.2
soxR-BAC0370,1 (100.0%),GCA_000498375.2
fabK-BAC0157,1 (100.0%),GCA_000498375.2
arsC-BAC0584,1 (100.0%),GCA_000498375.2
arsB-BAC0573,1 (100.0%),GCA_000498375.2
pstB-BAC0316,1 (100.0%),GCA_000498375.2
vcaM-BAC0417,1 (100.0%),GCA_000498375.2
ostA/lptD-BAC0296,1 (100.0%),GCA_000498375.2
lmrS-BAC0535,1 (100.0%),GCA_000498375.2
fpvA-BAC0169,1 (100.0%),GCA_000498375.2
mdeA-BAC0207,1 (100.0%),GCA_000498375.2
merA-BAC0651,1 (100.0%),GCA_000498375.2
chrA-BAC0026,1 (100.0%),GCA_000498375.2
modA-BAC0609,1 (100.0%),GCA_000498375.2
modB-BAC0610,1 (100.0%),GCA_000498375.2
adeC-BAC0473,1 (100.0%),GCA_000498375.2
adeB-BAC0472,1 (100.0%),GCA_000498375.2
adeA-BAC0471,1 (100.0%),GCA_000498375.2
baeR-BAC0039,1 (100.0%),GCA_000498375.2
adeT1-BAC0478,1 (100.0%),GCA_000498375.2
emrBsm-BAC0500,1 (100.0%),GCA_000498375.2
fecE-BAC0164,1 (100.0%),GCA_000498375.2
fecD-BAC0163,1 (100.0%),GCA_000498375.2
actP/yjcG-BAC0564,1 (100.0%),GCA_000498375.2
zraR/hydH-BAC0467,1 (100.0%),GCA_000498375.2
adeN-BAC0496,1 (100.0%),GCA_000498375.2
pmrC-BAC0485,1 (100.0%),GCA_000498375.2
amvA-BAC0025,1 (100.0%),GCA_000498375.2
mgtA-BAC0642,1 (100.0%),GCA_000498375.2
czcR-BAC0125,1 (100.0%),GCA_000498375.2
yddg/emrE-BAC0435,1 (100.0%),GCA_000498375.2
pmrB-BAC0488,1 (100.0%),GCA_000498375.2
pmrA-BAC0487,1 (100.0%),GCA_000498375.2
abeS-BAC0002,1 (100.0%),GCA_000498375.2
adeF-BAC0014,1 (100.0%),GCA_000498375.2
adeG-BAC0015,1 (100.0%),GCA_000498375.2
adeH-BAC0016,1 (100.0%),GCA_000498375.2
sitB-BAC0350,1 (100.0%),GCA_000498375.2
ruvB-BAC0293,1 (100.0%),GCA_000498375.2
sodB-BAC0706,1 (100.0%),GCA_000498375.2
modB-BAC0599,1 (100.0%),GCA_000498375.2
G2alt-BAC0490,1 (100.0%),GCA_000498375.2
ruvB-BAC0355,1 (100.0%),GCA_000498375.2
ydeP-BAC0438,1 (100.0%),GCA_000498375.2
adeE-BAC0013,1 (100.0%),GCA_000498375.2
adeI-BAC0017,1 (100.0%),GCA_000498375.2
adeJ-BAC0018,1 (100.0%),GCA_000498375.2
adeK-BAC0019,1 (100.0%),GCA_000498375.2
copR-BAC0719,1 (100.0%),GCA_000498375.2
bcr-BAC0041,1 (100.0%),GCA_000498375.2
hefC-BAC0188,1 (100.0%),GCA_000498375.2
adeT2-BAC0479,1 (100.0%),GCA_000498375.2
recG-BAC0356,1 (100.0%),GCA_000498375.2
corA-BAC0641,1 (100.0%),GCA_000498375.2
mdfA/cmr-BAC0208,1 (100.0%),GCA_000498375.2
czcD-BAC0122,1 (100.0%),GCA_000498375.2
czcA-BAC0119,1 (100.0%),GCA_000498375.2
fptA-BAC0168,1 (100.0%),GCA_000498375.2
hmrM-BAC0189,1 (100.0%),GCA_000498375.2
mexK-BAC0242,1 (100.0%),GCA_000498375.2
mexJ-BAC0241,1 (100.0%),GCA_000498375.2
