#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
GCA_000498375.2.fasta	ENA|CP017152|CP017152.1	179863	180651	+	ant(3'')-IIa	1-789/789	===============	0/0	100.00	98.61	ncbi	NG_054646.1	aminoglycoside nucleotidyltransferase ANT(3'')-IIa	SPECTINOMYCIN;STREPTOMYCIN
GCA_000498375.2.fasta	ENA|CP017152|CP017152.1	263827	265026	-	tet(B)	1-1200/1206	===============	0/0	99.50	100.00	ncbi	NG_048161.1	tetracycline efflux MFS transporter Tet(B)	TETRACYCLINE
GCA_000498375.2.fasta	ENA|CP017152|CP017152.1	268399	269235	-	aph(6)-Id	1-837/837	===============	0/0	100.00	100.00	ncbi	NG_047464.1	aminoglycoside O-phosphotransferase APH(6)-Id	STREPTOMYCIN
GCA_000498375.2.fasta	ENA|CP017152|CP017152.1	269235	270037	-	aph(3'')-Ib	2-804/804	===============	0/0	99.88	100.00	ncbi	NG_047413.1	aminoglycoside O-phosphotransferase APH(3'')-Ib	STREPTOMYCIN
GCA_000498375.2.fasta	ENA|CP017152|CP017152.1	1312439	1313260	-	blaOXA-23	1-822/822	===============	0/0	100.00	100.00	ncbi	NG_049525.1	OXA-23 family carbapenem-hydrolyzing class D beta-lactamase OXA-23	CARBAPENEM
GCA_000498375.2.fasta	ENA|CP017152|CP017152.1	1357129	1357968	-	sul1	1-840/840	===============	0/0	100.00	100.00	ncbi	NG_048082.1	sulfonamide-resistant dihydropteroate synthase Sul1	SULFONAMIDE
GCA_000498375.2.fasta	ENA|CP017152|CP017152.1	1360551	1361133	+	aac(6')-Ip	1-582/582	========/======	1/1	100.00	99.66	ncbi	NG_047307.2	aminoglycoside 6'-N-acetyltransferase AAC(6')-Ip	AMINOGLYCOSIDE
GCA_000498375.2.fasta	ENA|CP017152|CP017152.1	1364565	1365425	-	blaTEM-12	1-861/861	===============	0/0	100.00	99.88	ncbi	NG_050163.1	extended-spectrum class A beta-lactamase TEM-12	CEPHALOSPORIN
GCA_000498375.2.fasta	ENA|CP017152|CP017152.1	1816098	1816922	-	blaOXA-66	1-825/825	===============	0/0	100.00	100.00	ncbi	NG_049806.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-66	CARBAPENEM
GCA_000498375.2.fasta	ENA|CP017152|CP017152.1	2754726	2755610	-	mph(E)	1-885/885	===============	0/0	100.00	100.00	ncbi	NG_064660.1	Mph(E) family macrolide 2'-phosphotransferase	ERYTHROMYCIN
GCA_000498375.2.fasta	ENA|CP017152|CP017152.1	2755666	2757141	-	msr(E)	1-1476/1476	===============	0/0	100.00	100.00	ncbi	NG_048007.1	ABC-F type ribosomal protection protein Msr(E)	AZITHROMYCIN;ERYTHROMYCIN;STREPTOGRAMIN
GCA_000498375.2.fasta	ENA|CP017152|CP017152.1	2759440	2760213	-	armA	1-774/774	===============	0/0	100.00	100.00	ncbi	NG_047476.1	16S rRNA (guanine(1405)-N(7))-methyltransferase ArmA	GENTAMICIN
GCA_000498375.2.fasta	ENA|CP017152|CP017152.1	2763558	2764397	-	sul1	1-840/840	===============	0/0	100.00	100.00	ncbi	NG_048082.1	sulfonamide-resistant dihydropteroate synthase Sul1	SULFONAMIDE
GCA_000498375.2.fasta	ENA|CP017152|CP017152.1	2764902	2765693	-	aadA1	1-792/792	===============	0/0	100.00	99.87	ncbi	NG_047325.1	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA1	STREPTOMYCIN
GCA_000498375.2.fasta	ENA|CP017152|CP017152.1	2765751	2766383	-	catB8	1-633/633	===============	0/0	100.00	100.00	ncbi	NG_047616.1	type B-3 chloramphenicol O-acetyltransferase CatB8	CHLORAMPHENICOL
GCA_000498375.2.fasta	ENA|CP017152|CP017152.1	2766476	2767030	-	aac(6')-Ib'	1-555/555	===============	0/0	100.00	100.00	ncbi	NG_051695.1	aminoglycoside N-acetyltransferase AAC(6')-Ib'	GENTAMICIN
GCA_000498375.2.fasta	ENA|CP017152|CP017152.1	2768877	2769692	-	aph(3')-Ia	1-816/816	===============	0/0	100.00	99.88	ncbi	NG_047431.1	aminoglycoside O-phosphotransferase APH(3')-Ia	KANAMYCIN
GCA_000498375.2.fasta	ENA|CP017152|CP017152.1	3026706	3027857	+	blaADC-31	1-1152/1152	===============	0/0	100.00	100.00	ncbi	NG_050716.1	extended-spectrum class C beta-lactamase ADC-31	CEPHALOSPORIN
